Community_ID	Members of community
154	['M19-30-39', 'M65-30-39', 'M75-30-39', 'M65-40-49', 'M65-50-59', 'M72-50-59']
155	['N10-20-29', 'N13-20-29', 'N20-20-29', 'N10-30-39', 'N13-30-39', 'N20-30-39', 'N10-40-49']
156	['E21-30-39', 'N18-30-39', 'N19-30-39', 'E21-40-49', 'I15-40-49', 'N18-40-49', 'N19-40-49', 'I15-50-59', 'N17-50-59', 'N19-50-59']
157	['N80-30-39', 'N84-30-39', 'N85-30-39', 'N88-30-39', 'N92-30-39']
158	['B35-50-59']
159	['B16-40-49', 'B18-50-59', 'B18-60-69', 'K73-60-69', 'B18-70-79']
160	['G83-50-59', 'H10-50-59', 'M54-60-69', 'M76-60-69', 'J04-70-79', 'J31-70-79', 'M76-70-79']
161	['C18-40-49', 'C18-50-59', 'C19-50-59']
162	['C43-40-49', 'C43-50-59', 'C43-60-69', 'C43-70-79']
163	['C48-40-49', 'C56-40-49']
164	['C50-40-49', 'D05-40-49', 'D17-40-49', 'D24-40-49', 'D48-40-49', 'N60-40-49']
165	['C73-40-49', 'C73-50-59']
166	['C82-40-49', 'C83-40-49', 'C85-40-49']
167	['C53-30-39', 'D06-30-39', 'C53-40-49', 'C54-40-49', 'C55-40-49', 'D06-40-49', 'N87-40-49']
168	['D12-40-49', 'I84-40-49', 'K64-50-59']
169	['D17-40-49', 'D24-40-49', 'D48-40-49', 'N60-40-49']
170	['D21-40-49', 'D25-40-49', 'D62-40-49', 'K36-40-49']
171	['C43-40-49', 'D22-40-49', 'C43-50-59', 'D22-50-59']
172	['I83-40-49', 'I83-50-59']
173	['D26-40-49', 'N84-40-49', 'N85-40-49', 'N88-40-49', 'N92-40-49', 'N95-40-49']
174	['D34-40-49', 'E04-40-49', 'E55-40-49', 'E83-40-49', 'J38-40-49']
175	['K51-20-29', 'K51-30-39', 'D50-40-49', 'E61-40-49', 'K51-40-49', 'E61-50-59', 'K51-50-59', 'K51-60-69', 'K51-70-79']
176	['D53-40-49', 'F10-40-49', 'G62-40-49', 'I85-40-49', 'K74-40-49', 'D53-50-59', 'F12-50-59', 'G62-50-59']
177	['D69-10-19', 'D69-20-29', 'D69-30-39', 'D69-40-49', 'D70-40-49']
178	['H25-40-49', 'H26-40-49', 'H33-40-49', 'H35-40-49', 'H33-50-59']
179	['E13-40-49', 'E11-50-59', 'E13-50-59', 'G63-50-59', 'L03-50-59', 'G63-60-69', 'M86-60-69', 'N08-60-69']
180	['E65-40-49', 'L90-40-49', 'N62-40-49']
181	['E66-40-49', 'I89-40-49', 'K42-40-49', 'K43-40-49', 'M16-40-49', 'E65-50-59', 'K42-50-59', 'K43-50-59']
182	['E73-40-49', 'E74-40-49', 'E73-50-59', 'E74-50-59']
183	['M42-40-49', 'M43-40-49', 'M48-40-49']
184	['F48-40-49', 'G25-40-49', 'G47-40-49', 'F48-50-59', 'G25-50-59', 'G47-50-59']
185	['F17-40-49', 'G45-40-49', 'J38-40-49', 'J40-40-49', 'J43-40-49', 'J98-40-49']
186	['F20-20-29', 'F25-20-29', 'F20-30-39', 'F25-30-39', 'F20-40-49', 'F25-40-49']
187	['F20-50-59', 'F25-50-59', 'F20-60-69', 'F25-60-69', 'F20-70-79', 'F25-70-79']
188	['F79-50-59', 'F79-60-69', 'F79-70-79']
189	['B00-40-49', 'G35-40-49', 'B00-50-59', 'G35-50-59']
190	['G25-40-49', 'G47-40-49', 'G25-50-59', 'G47-50-59']
191	['M51-20-29', 'M43-30-39', 'M48-30-39', 'M51-30-39', 'G57-40-49', 'M51-40-49', 'M96-40-49']
192	['M42-40-49', 'M43-40-49', 'M48-40-49']
193	['M51-20-29', 'M43-30-39', 'M48-30-39', 'M51-30-39', 'G54-40-49', 'G57-40-49', 'M40-40-49', 'M51-40-49', 'M54-40-49', 'M96-40-49', 'G54-50-59', 'M96-50-59', 'M96-60-69']
194	['M40-50-59', 'M54-50-59', 'M76-50-59', 'M80-50-59', 'M93-50-59', 'D16-60-69', 'D36-60-69', 'G83-60-69', 'K04-60-69', 'M40-60-69']
195	['G70-40-49', 'G70-50-59', 'G70-60-69']
196	['G80-40-49', 'G80-50-59', 'G80-60-69']
197	['G91-40-49', 'I60-40-49', 'I61-40-49']
198	['H02-40-49', 'H52-40-49', 'H53-40-49']
199	['H80-40-49', 'H90-40-49', 'H80-50-59']
200	['H81-40-49', 'H91-40-49', 'H93-40-49', 'H81-50-59', 'H90-50-59', 'H91-50-59', 'H93-50-59', 'H81-60-69', 'H90-60-69', 'H91-60-69', 'H93-60-69', 'H91-70-79', 'H93-70-79']
201	['M35-30-39', 'I10-40-49', 'I11-40-49', 'I15-40-49', 'I27-40-49', 'I35-40-49', 'I44-40-49', 'I51-40-49', 'I74-40-49', 'I77-40-49', 'J15-40-49', 'L30-40-49', 'M13-40-49', 'M35-40-49']
202	['I21-40-49', 'I25-40-49', 'I42-40-49', 'I50-40-49', 'I20-50-59', 'I21-50-59']
203	['I20-40-49', 'I21-40-49', 'I25-40-49', 'I42-40-49', 'I50-40-49', 'I20-50-59', 'I21-50-59', 'I25-50-59', 'I42-50-59', 'I44-50-59', 'I50-50-59', 'I51-50-59']
204	['I25-40-49', 'I42-40-49', 'I50-40-49', 'I42-50-59', 'I44-50-59', 'I50-50-59', 'I51-50-59', 'I42-60-69', 'I44-60-69', 'I44-70-79']
205	['I26-40-49', 'I80-40-49', 'I82-40-49']
206	['I42-40-49', 'I50-40-49', 'I42-50-59', 'I44-50-59', 'I44-60-69', 'I44-70-79']
207	['I45-40-49', 'I45-50-59', 'I45-60-69', 'I45-70-79']
208	['E78-40-49', 'E79-40-49', 'G45-40-49', 'I20-40-49', 'I21-40-49', 'I44-40-49', 'I51-40-49', 'M41-40-49', 'E79-50-59', 'M41-50-59']
209	['I63-40-49', 'I64-40-49', 'I65-40-49', 'G46-50-59', 'I63-50-59', 'I64-50-59', 'I65-50-59']
210	['I67-40-49', 'I72-40-49', 'I67-50-59']
211	['G91-50-59', 'I60-50-59', 'I61-50-59', 'G91-60-69', 'I60-60-69']
212	['I85-40-49', 'K74-40-49', 'I85-50-59', 'K74-50-59']
213	['A41-40-49', 'J18-40-49', 'J96-40-49', 'N17-40-49']
214	['J34-40-49', 'J35-40-49', 'M95-40-49']
215	['K51-40-49', 'K51-50-59', 'K51-60-69', 'K51-70-79']
216	['K31-40-49', 'K31-50-59', 'K31-60-69']
217	['F60-50-59', 'F60-60-69', 'F60-70-79']
218	['K42-40-49', 'K43-40-49', 'K42-50-59', 'K43-50-59']
219	['D21-30-39', 'D25-30-39', 'K66-30-39', 'N73-30-39', 'N80-30-39', 'N83-30-39', 'N84-30-39', 'N85-30-39', 'N88-30-39', 'N92-30-39', 'N94-30-39', 'K66-40-49', 'N73-40-49']
220	['K58-40-49', 'K58-50-59', 'K58-60-69', 'K58-70-79']
221	['K60-40-49', 'K60-50-59']
222	['K80-40-49', 'K81-40-49', 'K82-40-49', 'K83-40-49']
223	['K83-40-49', 'C25-50-59', 'K83-50-59', 'K83-60-69', 'K83-70-79']
224	[]
225	['D21-50-59', 'D25-50-59', 'D62-50-59', 'N73-50-59', 'N83-50-59', 'A69-60-69', 'D21-60-69', 'K35-60-69', 'N35-60-69', 'N73-60-69', 'N83-60-69']
226	['C79-60-69', 'D61-60-69', 'D70-60-69', 'M84-60-69']
227	['M16-40-49', 'M16-50-59', 'M87-50-59']
228	['M17-40-49', 'M21-40-49', 'M71-40-49', 'M93-40-49', 'M94-40-49', 'M94-50-59']
229	['M20-30-39', 'M77-30-39', 'M20-40-49', 'M21-40-49', 'G57-50-59', 'M20-50-59']
230	['M71-40-49', 'M93-40-49', 'M94-40-49', 'M71-50-59', 'M93-50-59', 'M94-50-59']
231	['M71-40-49', 'M93-40-49']
232	['M65-30-39', 'M24-40-49', 'M65-40-49', 'M67-40-49', 'M24-50-59', 'M65-50-59', 'M67-50-59', 'M72-50-59']
233	['M34-40-49', 'M34-50-59', 'M34-60-69', 'M34-70-79']
234	['M45-40-49', 'M45-50-59', 'M45-60-69']
235	['G54-40-49', 'M41-40-49', 'M42-40-49', 'M43-40-49', 'M47-40-49', 'M48-40-49', 'M62-40-49', 'E55-50-59', 'M41-50-59', 'M42-50-59', 'M43-50-59', 'M47-50-59', 'M48-50-59', 'M62-50-59']
236	['N04-40-49', 'A69-50-59', 'B99-50-59', 'E07-50-59', 'I10-50-59', 'I31-50-59', 'I46-50-59', 'I71-50-59', 'J03-50-59', 'J30-50-59', 'J41-50-59', 'J42-50-59', 'J81-50-59', 'J84-50-59', 'K55-50-59', 'K75-50-59', 'L50-50-59', 'L98-50-59', 'M86-50-59', 'N30-50-59', 'E26-60-69', 'N03-60-69']
237	['N35-40-49', 'N39-40-49', 'N76-40-49', 'N81-40-49', 'N10-50-59', 'N30-50-59']
238	['N13-40-49', 'N20-40-49', 'N13-50-59', 'N20-50-59']
239	['E21-30-39', 'E21-40-49', 'N18-40-49', 'N19-40-49', 'E21-50-59', 'N17-50-59', 'N19-50-59']
240	['K66-30-39', 'N73-30-39', 'N76-30-39', 'K66-40-49', 'N73-40-49']
241	['N83-40-49', 'N76-50-59']
242	['N97-40-49', 'D13-50-59', 'K80-50-59', 'K81-50-59', 'K82-50-59', 'N97-50-59']
243	['A04-50-59', 'K80-60-69', 'K81-60-69', 'K82-60-69', 'D72-70-79']
244	['A08-50-59', 'J31-50-59', 'M46-50-59', 'A49-60-69', 'K29-60-69', 'K55-60-69', 'D22-70-79', 'K20-70-79', 'L28-70-79', 'N60-70-79']
245	['B02-50-59', 'D13-50-59', 'E78-50-59', 'E83-50-59', 'G51-50-59', 'I07-50-59', 'I15-50-59', 'I71-50-59', 'I72-50-59', 'I72-60-69']
246	['B18-60-69', 'B18-70-79']
247	['C16-50-59', 'C16-60-69', 'C16-70-79']
248	['C18-40-49', 'C18-50-59', 'C19-50-59', 'C20-50-59']
249	['C22-50-59', 'C38-50-59', 'C49-50-59', 'C78-50-59', 'D61-50-59']
250	['C34-40-49', 'C34-50-59', 'J82-50-59']
251	['C48-40-49', 'C56-40-49', 'C48-50-59', 'C56-50-59', 'C57-50-59']
252	['C50-50-59', 'D05-50-59', 'D24-50-59', 'N60-50-59', 'N62-50-59', 'N64-50-59', 'N60-60-69']
253	['C53-70-79', 'C54-70-79', 'C55-70-79']
254	['C53-50-59', 'C54-50-59', 'C55-50-59', 'C53-60-69', 'C54-60-69', 'C55-60-69', 'C53-70-79']
255	['C67-50-59', 'C67-60-69', 'C67-70-79', 'C68-70-79']
256	['C71-40-49', 'D43-40-49', 'C71-50-59', 'D43-50-59']
257	['C82-50-59', 'C82-60-69', 'C82-70-79']
258	['C83-50-59', 'C85-50-59', 'C85-60-69']
259	['C90-50-59', 'C90-60-69', 'C90-70-79']
260	['C91-50-59', 'C91-60-69', 'C91-70-79']
261	['C92-50-59', 'C92-60-69', 'C92-70-79']
262	['D13-50-59', 'K80-50-59', 'K81-50-59', 'K82-50-59']
263	['D17-50-59', 'D17-60-69', 'D17-70-79']
264	['D32-50-59', 'D32-60-69', 'D32-70-79']
265	['M47-40-49', 'D34-50-59', 'E04-50-59', 'E21-50-59', 'E55-50-59', 'E83-50-59', 'J38-50-59', 'E07-60-69']
266	['D47-50-59', 'D47-60-69', 'D47-70-79']
267	['D17-50-59', 'D48-50-59', 'D17-60-69', 'D48-60-69', 'D17-70-79']
268	['D50-50-59', 'D62-60-69', 'E61-60-69']
269	['A04-70-79', 'A41-70-79', 'B35-70-79', 'K65-70-79']
270	['C50-60-69', 'D05-60-69', 'D24-60-69', 'N64-60-69']
271	['D68-50-59', 'D68-60-69', 'D68-70-79']
272	['D75-50-59', 'J37-50-59', 'J44-60-69', 'J93-60-69', 'J93-70-79']
273	['E03-50-59', 'E10-50-59', 'E13-60-69', 'E16-60-69', 'E13-70-79']
274	['E16-50-59', 'E10-60-69', 'E10-70-79', 'E13-70-79', 'E16-70-79', 'G63-70-79']
275	['I99-50-59', 'A04-60-69', 'E78-60-69', 'E83-60-69', 'G46-60-69', 'G51-60-69', 'M10-60-69', 'M85-60-69', 'E83-70-79', 'F50-70-79', 'N04-70-79', 'N05-70-79', 'N62-70-79', 'N87-70-79']
276	['M16-40-49', 'I89-50-59', 'M16-50-59', 'M87-50-59', 'I89-60-69', 'I89-70-79']
277	['F06-50-59', 'F06-60-69']
278	['F10-50-59', 'F19-50-59', 'D52-60-69', 'F19-60-69', 'G93-60-69', 'I46-60-69', 'K26-60-69', 'M80-60-69', 'G93-70-79', 'K26-70-79', 'M80-70-79']
279	['F06-40-49', 'F48-40-49', 'F32-50-59', 'F40-50-59', 'F44-50-59', 'F48-50-59', 'D16-60-69', 'F11-60-69', 'F22-60-69', 'F44-60-69', 'F51-60-69', 'J00-60-69', 'J37-60-69', 'L28-60-69', 'N89-60-69']
280	['F33-50-59', 'F50-50-59', 'F50-60-69']
281	['G43-30-39', 'G44-30-39', 'G43-40-49', 'G44-40-49', 'G45-40-49', 'H81-40-49', 'G43-50-59', 'G44-50-59', 'H81-50-59']
282	['G35-60-69', 'G35-70-79']
283	['G20-50-59', 'G20-60-69', 'G21-70-79']
284	['G93-40-49', 'G40-50-59', 'G93-50-59', 'G41-60-69']
285	['G45-50-59', 'G45-60-69', 'G45-70-79']
286	['G50-50-59', 'G50-60-69', 'G50-70-79']
287	['G56-30-39', 'G56-40-49', 'G56-50-59', 'M72-50-59']
288	['G81-50-59', 'G81-60-69', 'G81-70-79']
289	['G91-50-59', 'I60-50-59', 'I61-50-59', 'G91-60-69', 'I60-60-69']
290	['H25-40-49', 'H26-40-49', 'H33-40-49', 'H35-40-49', 'H25-50-59', 'H26-50-59', 'H33-50-59']
291	['H02-40-49', 'H52-40-49', 'H53-40-49', 'H02-50-59', 'H52-50-59', 'H53-50-59']
292	['H90-50-59', 'H91-50-59', 'H93-50-59', 'H81-60-69', 'H90-60-69', 'H91-60-69', 'H93-60-69', 'H91-70-79', 'H93-70-79']
293	['I05-50-59', 'I05-60-69', 'I05-70-79']
294	['I07-40-49', 'I34-40-49', 'I07-50-59', 'I34-50-59', 'I35-50-59', 'I36-50-59']
295	['I11-50-59', 'I11-60-69', 'I11-70-79']
296	['I12-50-59', 'N18-60-69', 'N25-60-69', 'N18-70-79', 'N25-70-79']
297	['I26-40-49', 'I80-40-49', 'I82-40-49', 'I26-50-59', 'I80-50-59']
