icd_1,icd_2,ji
E10,M02,0.018867924528301886
E10,M06,0.06796116504854369
E10,M08,0.09016393442622951
E10,M13,0.05263157894736842
E10,M31,0.06818181818181818
E10,M32,0.03622047244094488
E10,M33,0.046875
E10,M35,0.11428571428571428
E10,M45,0.041237113402061855
E10,M81,0.06217616580310881
E10,M86,0.02608695652173913
E10,N03,0.026785714285714284
E10,N08,0.08125
E10,N17,0.11267605633802817
E10,N18,0.09659090909090909
E10,N80,0.040892193308550186
E16,A16,0.09090909090909091
E16,B22,0.08
E16,B35,0.058823529411764705
E16,D64,0.043859649122807015
E16,E11,0.11403508771929824
E16,E14,0.03278688524590164
E16,E31,0.08333333333333333
E16,G36,0.06451612903225806
E16,H20,0.1
E16,H46,0.06896551724137931
E16,I00,0.08333333333333333
E16,I10,0.043795620437956206
E16,I20,0.026515151515151516
E16,J15,0.06666666666666667
E16,J60,0.07407407407407407
E16,J62,0.08571428571428572
E16,L12,0.07142857142857142
E16,M33,0.0625
E16,M81,0.03389830508474576
E31,A16,0.5
E31,E06,0.10344827586206896
E31,A98,0.2
E31,B73,0.25
E31,D50,0.1111111111111111
E31,D86,0.0297029702970297
E31,G20,0.011111111111111112
E31,G36,0.25
E31,G47,0.046875
E31,G56,0.022222222222222223
E31,G70,0.025210084033613446
E31,H20,0.08823529411764706
E31,H46,0.18181818181818182
E31,I00,0.6
E31,I09,0.23076923076923078
E31,J32,0.125
E31,J41,0.125
E31,J42,0.08695652173913043
E31,J98,0.15384615384615385
E31,K75,0.18181818181818182
E31,K90,0.05172413793103448
E31,L10,0.21428571428571427
E31,L12,0.3333333333333333
E31,L51,0.03333333333333333
E31,L63,0.047058823529411764
E31,L71,0.1111111111111111
E31,M08,0.10344827586206896
E31,M31,0.08108108108108109
E31,M80,0.07692307692307693
E31,N02,0.02830188679245283
E31,N03,0.16666666666666666
E84,A32,0.05952380952380952
E84,B27,0.028985507246376812
E84,C04,0.04225352112676056
E84,C34,0.04
E84,H20,0.05263157894736842
E84,H36,0.042105263157894736
E84,I20,0.036065573770491806
E84,I22,0.06716417910447761
E84,J18,0.042682926829268296
E84,J20,0.029850746268656716
E84,J43,0.1
E84,J44,0.05732484076433121
E84,J46,0.029411764705882353
E84,J47,0.13414634146341464
E84,J61,0.07692307692307693
E84,J66,0.07692307692307693
E84,J80,0.047058823529411764
E84,J81,0.0375
E84,K13,0.06172839506172839
E84,K52,0.05333333333333334
E84,K56,0.047619047619047616
E84,K70,0.057971014492753624
E84,K76,0.06766917293233082
E84,K82,0.046357615894039736
E84,L13,0.028985507246376812
E84,L52,0.028985507246376812
E84,M06,0.030181086519114688
E84,M30,0.056818181818181816
E84,M35,0.07534246575342465
E84,N08,0.046511627906976744
E84,N17,0.061946902654867256
E84,N18,0.06164383561643835
G36,A16,0.18181818181818182
G36,E06,0.08333333333333333
G36,A98,0.11764705882352941
