,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List,PubMed count,PubMed count avg
78,3,"['H73', 'K92']",Thioridazine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
79,3,"['H73', 'K92']",Warfarin,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 158]",79.5
80,3,"['H73', 'K92']",Amprenavir,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
81,3,"['H73', 'K92']",Methazolamide,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
82,3,"['H73', 'K92']",Delavirdine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
83,3,"['H73', 'K92']",Paroxetine,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 18]",9.0
84,3,"['H73', 'K92']",Carbinoxamine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
85,3,"['H73', 'K92']",Tranylcypromine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 11]",5.5
86,3,"['H73', 'K92']",Dolasetron,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 0]",0.0
87,3,"['H73', 'K92']",Methimazole,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 62]",31.0
88,3,"['H73', 'K92']",Brompheniramine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 3]",1.5
89,3,"['H73', 'K92']",Loperamide,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 170]",85.0
90,3,"['H73', 'K92']",Donepezil,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 29]",14.5
91,3,"['H73', 'K92']",Perphenazine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 9]",4.5
92,3,"['H73', 'K92']",Terbinafine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[2, 18]",10.0
93,3,"['H73', 'K92']",Eprosartan,0.00382429,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
94,3,"['H73', 'K92']",Ondansetron,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 57]",28.5
95,3,"['H73', 'K92']",Quinidine,0.008192668,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 45]",22.5
96,3,"['H73', 'K92']",Zalcitabine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 102]",51.0
97,3,"['H73', 'K92']",Phenprocoumon,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 8]",4.0
98,3,"['H73', 'K92']",Isoniazid,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[2, 254]",128.0
99,3,"['H73', 'K92']",Carboplatin,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 112]",56.0
100,3,"['H73', 'K92']",Desloratadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 6]",3.0
101,3,"['H73', 'K92']",Azelastine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
102,3,"['H73', 'K92']",Formoterol,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 5]",2.5
103,3,"['H73', 'K92']",Sulfamethoxazole,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']","[11, 231]",121.0
104,3,"['H73', 'K92']",Methoxyflurane,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 21]",10.5
105,3,"['H73', 'K92']",Tolterodine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 2]",1.0
106,3,"['H73', 'K92']",Selegiline,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 21]",10.5
107,3,"['H73', 'K92']",Promethazine,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 22]",11.0
108,3,"['H73', 'K92']",Diphenhydramine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']","[1, 39]",20.0
109,3,"['H73', 'K92']",Atorvastatin,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 212]",106.0
110,3,"['H73', 'K92']",Tegaserod,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 36]",18.0
111,3,"['H73', 'K92']",Fluvastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']","[0, 27]",13.5
112,3,"['H73', 'K92']",Sertraline,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']",[0],0.0
