,Trajectory,Disease list,Drug,FDR,Disease Consensus Name List
88,3,"['H73', 'K92']",Brompheniramine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
89,3,"['H73', 'K92']",Loperamide,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
90,3,"['H73', 'K92']",Donepezil,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
91,3,"['H73', 'K92']",Perphenazine,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
92,3,"['H73', 'K92']",Terbinafine,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
93,3,"['H73', 'K92']",Eprosartan,0.00382429,"['disorders of tympanic membrane', 'diseases of digestive system']"
94,3,"['H73', 'K92']",Ondansetron,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
95,3,"['H73', 'K92']",Quinidine,0.008192668,"['disorders of tympanic membrane', 'diseases of digestive system']"
96,3,"['H73', 'K92']",Zalcitabine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
97,3,"['H73', 'K92']",Phenprocoumon,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
98,3,"['H73', 'K92']",Isoniazid,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
99,3,"['H73', 'K92']",Carboplatin,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']"
100,3,"['H73', 'K92']",Desloratadine,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
101,3,"['H73', 'K92']",Azelastine,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
102,3,"['H73', 'K92']",Formoterol,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']"
103,3,"['H73', 'K92']",Sulfamethoxazole,0.031236161,"['disorders of tympanic membrane', 'diseases of digestive system']"
104,3,"['H73', 'K92']",Methoxyflurane,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
105,3,"['H73', 'K92']",Tolterodine,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
106,3,"['H73', 'K92']",Selegiline,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
107,3,"['H73', 'K92']",Promethazine,0.04916748,"['disorders of tympanic membrane', 'diseases of digestive system']"
108,3,"['H73', 'K92']",Diphenhydramine,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
109,3,"['H73', 'K92']",Atorvastatin,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']"
110,3,"['H73', 'K92']",Tegaserod,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
111,3,"['H73', 'K92']",Fluvastatin,0.003539954,"['disorders of tympanic membrane', 'diseases of digestive system']"
112,3,"['H73', 'K92']",Sertraline,0.044524904,"['disorders of tympanic membrane', 'diseases of digestive system']"
113,3,"['H73', 'K92']",Nifedipine,0.0062462,"['disorders of tympanic membrane', 'diseases of digestive system']"
114,3,"['H73', 'K92']",Bicalutamide,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
115,3,"['H73', 'K92']",Rabeprazole,0.022881383,"['disorders of tympanic membrane', 'diseases of digestive system']"
116,3,"['H73', 'K92']",Proguanil,0.015571551,"['disorders of tympanic membrane', 'diseases of digestive system']"
117,3,"['H73', 'K92']",Pioglitazone,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
118,3,"['H73', 'K92']",Carvedilol,0.008927828,"['disorders of tympanic membrane', 'diseases of digestive system']"
119,3,"['H73', 'K92']",Sulfinpyrazone,0.039905834,"['disorders of tympanic membrane', 'diseases of digestive system']"
120,3,"['H73', 'K92']",Bupropion,0.035307183,"['disorders of tympanic membrane', 'diseases of digestive system']"
121,3,"['H73', 'K92']",Moclobemide,0.01221457,"['disorders of tympanic membrane', 'diseases of digestive system']"
122,3,"['H73', 'K92']",Idarubicin,0.006329798,"['disorders of tympanic membrane', 'diseases of digestive system']"
123,3,"['H73', 'K92']",Propafenone,0.026913657,"['disorders of tympanic membrane', 'diseases of digestive system']"
124,3,"['H73', 'K92']",Dexfenfluramine,0.01925776,"['disorders of tympanic membrane', 'diseases of digestive system']"
125,3,"['H73', 'K92']",Flecainide,0.009160715,"['disorders of tympanic membrane', 'diseases of digestive system']"
