,Trajectory,Drug,Disease list,Disease Consensus Name List,PubMed count,PubMed count avg
10,316,Crizotinib,"['K59', 'L90']","['functional intestinal disorders', 'atrophic disorders of skin']","[40, 0]",20.0
11,154,Dextrothyroxine,"['M19', 'M65', 'M75', 'M72']","['arthrosis', 'infective (teno)synovitis', 'shoulder lesions', 'fibroblastic disorders']","[2, 0, 0, 0]",0.5
12,401,"Interferon Alfa-2a, Recombinant","['J98', 'J45', 'J96']","['respiratory disorders', 'asthma', 'respiratory failure']","[84, 18, 22]",41.333333333333336
13,375,Octreotide,"['K20', 'K51', 'A49', 'K29', 'J37', 'N89']","['oesophagitis', 'ulcerative colitis', 'bacterial infection of site', 'gastritis and duodenitis', 'chronic laryngitis and laryngotracheitis', 'noninflammatory disorders of vagina']","[386, 20, 0, 355, 0, 0]",126.83333333333333
14,278,Bambuterol,"['F10', 'F19', 'D52', 'G93', 'I46', 'K26', 'M80']","['mental and behavioural disorders due to use of alcohol', 'mental and behavioural disorders due to multiple drug use and use of psychoactive substances', 'folate deficiency anaemia', 'disorders of brain', 'cardiac arrest', 'duodenal ulcer', 'osteoporosis with pathological fracture']","[3, 0, 0, 11, 1, 0, 0]",2.142857142857143
15,364,Tegaserod,"['E14', 'E16', 'I79', 'L03', 'M86', 'N08']","['diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[9, 0, 0, 0, 0, 0]",1.5
16,180,Terbinafine,"['E65', 'L90', 'N62']","['localised adiposity', 'atrophic disorders of skin', 'hypertrophy of breast']","[0, 3, 0]",1.0
17,74,Phendimetrazine,"['E06', 'E10', 'E14', 'E16']","['thyroiditis', 'insulin-dependent diabetes mellitus', 'diabetes mellitus', 'disorders of pancreatic internal secretion']","[1, 0, 3, 0]",1.0
18,166,Dabigatran etexilate,"['C82', 'C83', 'C85']","[""follicular [nodular] non-hodgkin's lymphoma"", ""diffuse non-hodgkin's lymphoma"", ""specified types of non-hodgkin's lymphoma""]","[0, 0, 0]",0.0
19,374,Benidipine,"['H10', 'F13', 'F33', 'F41', 'F43', 'F45', 'K59']","['conjunctivitis', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'functional intestinal disorders']","[0, 0, 0, 0, 0, 0, 0]",0.0
20,324,Calcium Phosphate,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 0, 17, 1, 0, 0, 1, 2, 2637, 0, 320, 0, 0, 13, 0, 2, 13, 24, 6, 34, 82, 35, 5, 1, 0, 5, 2]",118.51851851851852
21,32,Pentazocine,"['N11', 'N30', 'N35', 'N39', 'N76']","['chronic tubulo-interstitial nephritis', 'cystitis', 'urethral stricture', 'disorders of urinary system', 'inflammation of vagina and vulva']","[0, 1, 0, 2, 1]",0.8
22,376,Tixocortol,"['G21', 'F02', 'G20']","['secondary parkinsonism', 'dementia in diseases classified elsewhere', ""parkinson's disease""]","[0, 0, 0]",0.0
23,208,Etizolam,"['E78', 'E79', 'G45', 'I20', 'I21', 'I44', 'I51', 'M41']","['disorders of lipoprotein metabolism and lipidaemias', 'disorders of purine and pyrimidine metabolism', 'transient cerebral ischaemic attacks and related syndromes', 'angina pectoris', 'acute myocardial infarction', 'atrioventricular and left bundle-branch block', 'complications and ill-defined descriptions of heart disease', 'scoliosis']","[0, 2, 2, 0, 0, 0, 22, 0]",3.25
24,242,Abacavir,"['N97', 'D13', 'K80', 'K81', 'K82']","['female infertility', 'benign neoplasm of ill-defined parts of digestive system', 'cholelithiasis', 'cholecystitis', 'diseases of gallbladder']","[1, 0, 2, 1, 1]",1.0
25,335,Nesiritide,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']","[0, 13, 0, 0, 0, 0, 13, 0, 0, 13, 7, 1, 13, 2, 6, 10, 301, 14, 61, 558, 0, 0, 49, 0, 10, 4, 0, 35, 10, 121, 1, 1, 11, 287, 0, 0, 0, 2, 33, 0, 15, 0, 0, 0, 2, 1, 9, 0]",33.395833333333336
26,374,Nicotine,"['H10', 'F13', 'F33', 'F41', 'F43', 'F45', 'K59']","['conjunctivitis', 'mental and behavioural disorders due to use of sedatives or hypnotics', 'recurrent depressive disorder', 'anxiety disorders', 'reaction to severe stress, and adjustment disorders', 'somatoform disorders', 'functional intestinal disorders']","[3, 670, 49, 1119, 121, 29, 246]",319.57142857142856
27,364,Anileridine,"['E14', 'E16', 'I79', 'L03', 'M86', 'N08']","['diabetes mellitus', 'disorders of pancreatic internal secretion', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'cellulitis', 'osteomyelitis', 'glomerular disorders in diseases classified elsewhere']","[0, 0, 0, 0, 0]",0.0
28,270,Fluciclovine (18F),"['C50', 'D05', 'D24', 'N64']","['malignant neoplasm of breast', 'carcinoma in situ of breast', 'benign neoplasm of breast', 'disorders of breast']","[12, 0, 12, 11]",8.75
29,274,Desipramine,"['E16', 'E10', 'E13', 'G63']","['disorders of pancreatic internal secretion', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'polyneuropathy in diseases classified elsewhere']","[0, 1, 0, 0]",0.25
30,120,Pipecuronium,"['F31', 'F10', 'K70']","['bipolar affective disorder', 'mental and behavioural disorders due to use of alcohol', 'alcoholic liver disease']","[0, 0, 1]",0.3333333333333333
31,352,Cilostazol,"['K50', 'A02', 'B34', 'D52', 'D53', 'E07', 'E46', 'E72', 'F09', 'G60', 'G70', 'G83', 'G90', 'H49', 'H61', 'I10', 'I30', 'I99', 'J02', 'J04', 'J11', 'J30', 'J41', 'K20', 'K27', 'K30', 'K46', 'K73', 'K75', 'L08', 'L28', 'L29', 'L50', 'L82', 'L85', 'M00', 'M34', 'M40', 'M46', 'N12']","[""crohn's disease [regional enteritis]"", 'salmonella infections', 'viral infection of site', 'folate deficiency anaemia', 'nutritional anaemias', 'disorders of thyroid', 'protein-energy malnutrition', 'disorders of amino-acid metabolism', 'organic or symptomatic mental disorder', 'hereditary and idiopathic neuropathy', 'myasthenia gravis and myoneural disorders', 'paralytic syndromes', 'disorders of autonomic nervous system', 'paralytic strabismus', 'disorders of external ear', 'essential (primary) hypertension', 'acute pericarditis', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'influenza virus', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'oesophagitis', 'acute with perforation', 'dyspepsia', 'abdominal hernia', 'chronic hepatitis', 'inflammatory liver diseases', 'local infections of skin and subcutaneous tissue', 'lichen simplex chronicus and prurigo', 'pruritus', 'urticaria', 'seborrhoeic keratosis', 'epidermal thickening', 'pyogenic arthritis', 'systemic sclerosis', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'tubulo-interstitial nephritis']","[1, 0, 0, 0, 0, 2, 0, 16, 18, 4, 21, 0, 0, 0, 0, 1, 0, 212, 1, 1, 1, 6, 0, 0, 2, 0, 0, 1, 12, 4, 0, 3, 2, 0, 0, 0, 0, 2, 2]",8.0
32,324,Tretinoin,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 150, 15, 3, 23, 0, 0, 1, 275, 0, 113, 2, 2, 3, 0, 1, 834, 74, 16, 28, 74, 0, 4, 8, 0, 39, 9, 45]",61.392857142857146
33,354,Glipizide,"['L72', 'N92', 'D21', 'D23', 'D72', 'E65', 'K35', 'L50', 'M84', 'N35', 'N87', 'N94']","['follicular cysts of skin and subcutaneous tissue', 'excessive, frequent and irregular menstruation', 'benign neoplasms of connective and soft tissue', 'benign neoplasms of skin', 'disorders of white blood cells', 'localised adiposity', 'acute appendicitis', 'urticaria', 'disorders of continuity of bone', 'urethral stricture', 'dysplasia of cervix uteri', 'pain and conditions associated with female genital organs and menstrual cycle']","[3, 0, 2, 1, 0, 0, 0, 2, 1, 0, 0, 0]",0.75
34,325,Umeclidinium,"['E10', 'E13', 'E14', 'E11', 'G63', 'L03', 'N08', 'A04', 'E16', 'F01', 'G51', 'I79', 'L89', 'L98', 'M86']","['insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus', 'polyneuropathy in diseases classified elsewhere', 'cellulitis', 'glomerular disorders in diseases classified elsewhere', 'bacterial intestinal infections', 'disorders of pancreatic internal secretion', 'vascular dementia', 'facial nerve disorders', 'disorders of arteries, arterioles and capillaries in diseases classified elsewhere', 'decubitus ulcer', 'disorders of skin and subcutaneous tissue', 'osteomyelitis']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
35,335,Tasosartan,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0.0
36,209,Dyphylline,"['I63', 'I64', 'I65', 'G46']","['cerebral infarction', 'stroke', 'occlusion and stenosis of precerebral arteries', 'vascular syndromes of brain in cerebrovascular diseases']","[0, 0, 0, 0]",0.0
37,354,Topiroxostat,"['L72', 'N92', 'D21', 'D23', 'D72', 'E65', 'K35', 'L50', 'M84', 'N35', 'N87', 'N94']","['follicular cysts of skin and subcutaneous tissue', 'excessive, frequent and irregular menstruation', 'benign neoplasms of connective and soft tissue', 'benign neoplasms of skin', 'disorders of white blood cells', 'localised adiposity', 'acute appendicitis', 'urticaria', 'disorders of continuity of bone', 'urethral stricture', 'dysplasia of cervix uteri', 'pain and conditions associated with female genital organs and menstrual cycle']","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]",0.08333333333333333
38,25,Conestat alfa,"['H73', 'J00', 'J04', 'J12', 'J38', 'L50']","['disorders of tympanic membrane', 'acute nasopharyngitis [common cold]', 'acute laryngitis and tracheitis', 'viral pneumonia', 'diseases of vocal cords and larynx', 'urticaria']","[0, 0, 0, 3, 1, 27]",5.166666666666667
39,335,Mecamylamine,"['B36', 'C15', 'C23', 'C32', 'C51', 'C52', 'C69', 'C76', 'D03', 'D31', 'D46', 'D59', 'D89', 'E20', 'E46', 'E53', 'E72', 'F05', 'F09', 'G12', 'G24', 'G31', 'G90', 'H01', 'H21', 'H31', 'H49', 'H57', 'I06', 'I22', 'I33', 'I81', 'J11', 'J12', 'K06', 'K14', 'K41', 'K46', 'L08', 'L24', 'L53', 'L82', 'L84', 'L85', 'M00', 'M11', 'N32', 'N36']","['superficial mycoses', 'malignant neoplasm of oesophagus', 'malignant neoplasm of gallbladder', 'malignant neoplasm of larynx', 'malignant neoplasm of vulva', 'malignant neoplasm of vagina', 'malignant neoplasm of eye and adnexa', 'malignant neoplasm of ill-defined sites', 'melanoma in situ', 'benign neoplasm of eye and adnexa', 'myelodysplastic syndromes', 'acquired haemolytic anaemia', 'disorders involving the immune mechanism', 'hypoparathyroidism', 'protein-energy malnutrition', 'deficiency of b group vitamins', 'disorders of amino-acid metabolism', 'delirium', 'organic or symptomatic mental disorder', 'spinal muscular atrophy and related syndromes', 'dystonia', 'degenerative diseases of nervous system', 'disorders of autonomic nervous system', 'inflammation of eyelid', 'disorders of iris and ciliary body', 'disorders of choroid', 'paralytic strabismus', 'disorders of eye and adnexa', 'rheumatic aortic valve diseases', 'subsequent myocardial infarction', 'acute and subacute endocarditis', 'portal vein thrombosis', 'influenza virus', 'viral pneumonia', 'disorders of gingiva and edentulous alveolar ridge', 'diseases of tongue', 'femoral hernia', 'abdominal hernia', 'local infections of skin and subcutaneous tissue', 'irritant contact dermatitis', 'erythematous conditions', 'seborrhoeic keratosis', 'corns and callosities', 'epidermal thickening', 'pyogenic arthritis', 'crystal arthropathies', 'disorders of bladder', 'disorders of urethra']","[0, 0, 0, 0, 0, 0, 11, 0, 11, 0, 0, 2, 0, 0, 0, 35, 0, 15, 55, 5, 0, 9, 0, 2, 1, 0, 21, 0, 0, 0, 0, 1, 0, 0, 0, 0, 6, 1, 0, 0, 0, 1, 0, 1, 4, 0]",3.9347826086956523
40,20,Etomidate,"['F98', 'J11', 'J38', 'L50']","['behavioural and emotional disorders with onset usually occurring in childhood and adolescence', 'influenza virus', 'diseases of vocal cords and larynx', 'urticaria']","[520, 0, 10, 5]",133.75
41,401,Cinchocaine,"['J98', 'J45', 'J96']","['respiratory disorders', 'asthma', 'respiratory failure']","[3, 1, 2]",2.0
42,46,Dronedarone,"['F32', 'F33', 'F41', 'F44', 'F45', 'L98']","['depressive episode', 'recurrent depressive disorder', 'anxiety disorders', 'dissociative [conversion] disorders', 'somatoform disorders', 'disorders of skin and subcutaneous tissue']","[1, 0, 0, 0, 0]",0.2
43,219,Cyclobenzaprine,"['D21', 'D25', 'K66', 'N73', 'N80', 'N83', 'N84', 'N85', 'N88', 'N92', 'N94']","['benign neoplasms of connective and soft tissue', 'leiomyoma of uterus', 'disorders of peritoneum', 'female pelvic inflammatory diseases', 'endometriosis', 'noninflammatory disorders of ovary, fallopian tube and broad ligament', 'polyp of female genital tract', 'noninflammatory disorders of uterus, except cervix', 'noninflammatory disorders of cervix uteri', 'excessive, frequent and irregular menstruation', 'pain and conditions associated with female genital organs and menstrual cycle']","[1, 0, 0, 0, 0, 0, 0, 0, 0, 1]",0.2
44,377,Iron,"['G81', 'G40', 'G41']","['hemiplegia', 'epilepsy', 'status epilepticus']","[18, 501, 36]",185.0
45,342_420,Dexfenfluramine,"['C43', 'C44', 'L57']","['malignant melanoma of skin', 'malignant neoplasms of skin', 'skin changes due to chronic exposure to nonionising radiation']","[0, 1, 0]",0.3333333333333333
46,274,Methotrexate,"['E16', 'E10', 'E13', 'G63']","['disorders of pancreatic internal secretion', 'insulin-dependent diabetes mellitus', 'specified diabetes mellitus', 'polyneuropathy in diseases classified elsewhere']","[1, 33, 2, 0]",9.0
47,93,Probenecid,"['K66', 'N73', 'N76', 'N80', 'N94']","['disorders of peritoneum', 'female pelvic inflammatory diseases', 'inflammation of vagina and vulva', 'endometriosis', 'pain and conditions associated with female genital organs and menstrual cycle']","[1, 31, 11, 0, 4]",9.4
48,147,Ethosuximide,"['K76', 'N28', 'B37']","['diseases of liver', 'disorders of kidney and ureter', 'candidiasis']","[14, 8, 0]",7.333333333333333
49,433,Bazedoxifene,"['I21', 'I46']","['acute myocardial infarction', 'cardiac arrest']","[0, 0]",0.0
50,117,Pirlindole,"['E10', 'E14', 'E11']","['insulin-dependent diabetes mellitus', 'diabetes mellitus', 'non-insulin-dependent diabetes mellitus']","[0, 0, 0]",0.0
51,249,Solifenacin,"['C22', 'C38', 'C49', 'C78', 'D61']","['malignant neoplasm of liver and intrahepatic bile ducts', 'malignant neoplasm of heart, mediastinum and pleura', 'malignant neoplasm of connective and soft tissue', 'secondary malignant neoplasm of respiratory and digestive organs', 'aplastic anaemias']","[0, 0, 1, 2, 0]",0.6
52,350,Meclofenamic acid,"['C38', 'C78', 'C79', 'C80', 'D61', 'D63', 'D70', 'M84', 'C23', 'D48']","['malignant neoplasm of heart, mediastinum and pleura', 'secondary malignant neoplasm of respiratory and digestive organs', 'secondary malignant neoplasm of specified sites', 'malignant neoplasm', 'aplastic anaemias', 'anaemia in chronic diseases classified elsewhere', 'agranulocytosis', 'disorders of continuity of bone', 'malignant neoplasm of gallbladder', 'neoplasm of uncertain or unknown behaviour of sites']","[1, 2, 0, 44, 2, 0, 2, 0, 0, 0]",5.1
53,324,Ergocalciferol,"['N00', 'D46', 'E53', 'F05', 'G31', 'H49', 'I10', 'I12', 'I13', 'I62', 'I99', 'J02', 'J04', 'J30', 'J41', 'J42', 'J69', 'K20', 'K73', 'K75', 'L29', 'M10', 'M40', 'M46', 'N10', 'D26', 'E24', 'L73']","['acute nephritic syndrome', 'myelodysplastic syndromes', 'deficiency of b group vitamins', 'delirium', 'degenerative diseases of nervous system', 'paralytic strabismus', 'essential (primary) hypertension', 'hypertensive renal disease', 'hypertensive heart and renal disease', 'nontraumatic intracranial haemorrhage', 'disorders of circulatory system', 'acute pharyngitis', 'acute laryngitis and tracheitis', 'vasomotor and allergic rhinitis', 'simple and mucopurulent chronic bronchitis', 'chronic bronchitis', 'pneumonitis due to solids and liquids', 'oesophagitis', 'chronic hepatitis', 'inflammatory liver diseases', 'pruritus', 'gout', 'kyphosis and lordosis', 'inflammatory spondylopathies', 'acute tubulo-interstitial nephritis', 'benign neoplasms of uterus', ""cushing's syndrome"", 'follicular disorders']","[0, 3, 26, 0, 1, 0, 1, 922, 0, 127, 0, 0, 3, 0, 0, 3, 6, 8, 9, 4, 4, 5, 0, 0, 2, 0]",43.23076923076923
54,401,Etravirine,"['J98', 'J45', 'J96']","['respiratory disorders', 'asthma', 'respiratory failure']","[2, 0, 1]",1.0
