,Trajectory,Disease list,Drug Indications
20,74,"{'G47', 'E66', 'E11'}","{'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2, 'Miglitol': 2, 'Glipizide': 2, 'Tolbutamide': 2}"
21,77,"{'F15', 'F14', 'F19', 'F13', 'F11'}","{'Ziprasidone': 5, 'Olanzapine': 5, 'Loxapine': 5, 'Prochlorperazine': 5, 'Fluphenazine': 5, 'Perphenazine': 5, 'Quetiapine': 5, 'Aripiprazole': 5, 'Chlorprothixene': 5, 'Molindone': 5, 'Aripiprazole lauroxil': 5}"
22,78,"{'F25', 'F12', 'F15', 'F20'}","{'Pimavanserin': 4, 'Asenapine': 4, 'Amisulpride': 4, 'Armodafinil': 4, 'Ziprasidone': 4, 'Olanzapine': 4, 'Loxapine': 4, 'Prochlorperazine': 2, 'Fluphenazine': 2, 'Perphenazine': 2, 'Quetiapine': 4, 'Aripiprazole': 4, 'Chlorprothixene': 4, 'Molindone': 2, 'Aripiprazole lauroxil': 4, 'Glutamic Acid': 2, 'Clozapine': 2, 'Sulpiride': 2, 'Remoxipride': 2, 'Imipramine': 2, 'Chlorpromazine': 2, 'Haloperidol': 2, 'Thioridazine': 2, 'Risperidone': 2, 'Flupentixol': 2, 'Mesoridazine': 2, 'Clomipramine': 2, 'Paliperidone': 2, 'Methotrimeprazine': 2, 'Thioproperazine': 2, 'Thiothixene': 2, 'Zuclopenthixol': 2, 'Prasterone': 2, 'Fluspirilene': 2, 'Iloperidone': 2, 'Cariprazine': 2, 'Sertindole': 2, 'Lurasidone': 2, 'Perospirone': 2, 'Brexpiprazole': 2, 'Blonanserin': 2, 'Melperone': 2, 'Zotepine': 2}"
23,79,"{'F14', 'F12', 'K73', 'F19', 'F13', 'F11'}","{'Ziprasidone': 5, 'Olanzapine': 5, 'Loxapine': 5, 'Prochlorperazine': 5, 'Fluphenazine': 5, 'Perphenazine': 5, 'Quetiapine': 5, 'Aripiprazole': 5, 'Chlorprothixene': 5, 'Molindone': 5, 'Aripiprazole lauroxil': 5, 'Peginterferon alfa-2a': 1, 'Interferon Alfa-2a, Recombinant': 1, 'Tenofovir disoproxil': 1, 'Entecavir': 1, 'Lamivudine': 1, 'Adefovir Dipivoxil': 1, 'Ribavirin': 1, 'Telbivudine': 1, 'Simeprevir': 1, 'Acetylcarnitine': 1, 'Sofosbuvir': 1, 'Ombitasvir': 1, 'Paritaprevir': 1, 'Tenofovir alafenamide': 1, 'Asunaprevir': 1, 'Velpatasvir': 1, 'Hepatitis B Vaccine (Recombinant)': 1, 'Anethole trithione': 1, 'Pibrentasvir': 1, 'Glecaprevir': 1}"
24,82_87,"{'F25', 'F20'}","{'Pimavanserin': 4, 'Asenapine': 4, 'Amisulpride': 4, 'Armodafinil': 4, 'Glutamic Acid': 2, 'Ziprasidone': 2, 'Olanzapine': 2, 'Clozapine': 2, 'Sulpiride': 2, 'Loxapine': 2, 'Remoxipride': 2, 'Imipramine': 2, 'Chlorpromazine': 2, 'Haloperidol': 2, 'Thioridazine': 2, 'Risperidone': 2, 'Flupentixol': 2, 'Mesoridazine': 2, 'Quetiapine': 2, 'Aripiprazole': 2, 'Chlorprothixene': 2, 'Clomipramine': 2, 'Paliperidone': 2, 'Methotrimeprazine': 2, 'Thioproperazine': 2, 'Thiothixene': 2, 'Zuclopenthixol': 2, 'Prasterone': 2, 'Fluspirilene': 2, 'Iloperidone': 2, 'Cariprazine': 2, 'Sertindole': 2, 'Lurasidone': 2, 'Perospirone': 2, 'Brexpiprazole': 2, 'Blonanserin': 2, 'Melperone': 2, 'Zotepine': 2, 'Aripiprazole lauroxil': 2}"
25,84,"{'F32', 'F63', 'F40'}","{'Imipramine': 3, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Clomipramine': 1, 'Venlafaxine': 1, 'Alprazolam': 1, 'Fluoxetine': 1, 'Paroxetine': 1, 'Sertraline': 1}"
26,92,"{'I50', 'I42'}","{'Valsartan': 3, 'Ramipril': 3, 'Remikiren': 2, 'Torasemide': 3, 'Methyclothiazide': 3, 'Milrinone': 3, 'Metoprolol': 2, 'Nitroprusside': 3, 'Triamterene': 3, 'Digoxin': 2, 'Bendroflumethiazide': 2, 'Prazosin': 3, 'Fosinopril': 3, 'Acetyldigitoxin': 3, 'Trandolapril': 3, 'Enalapril': 3, 'Amiloride': 3, 'Cyclothiazide': 3, 'Bisoprolol': 2, 'Losartan': 3, 'Phentolamine': 1, 'Furosemide': 3, 'Eplerenone': 3, 'Lisinopril': 3, 'Hydroflumethiazide': 3, 'Perindopril': 3, 'Candesartan cilexetil': 3, 'Indapamide': 3, 'Acetazolamide': 3, 'Eprosartan': 3, 'Chlorothiazide': 3, 'Quinapril': 3, 'Bumetanide': 3, 'Etacrynic acid': 3, 'Levosimendan': 2, 'Telmisartan': 3, 'Trichlormethiazide': 2, 'Irbesartan': 3, 'Deslanoside': 2, 'Ouabain': 2, 'Carvedilol': 2, 'Captopril': 3, 'Hydralazine': 3, 'Cilazapril': 2, 'Tasosartan': 2, 'Digitoxin': 2, 'Amrinone': 3, 'Enoximone': 3, 'Nesiritide': 3, 'Vandetanib': 2, 'Pixantrone': 3, 'Tolvaptan': 3, 'Sitaxentan': 3, 'Dalteparin': 2, 'Ivabradine': 2, 'Ubidecarenone': 3, 'Fimasartan': 2, 'Molsidomine': 2, 'Sacubitril': 2, 'Iobenguane sulfate I-123': 2, 'Dexrazoxane': 2, 'Phenindione': 2, 'Warfarin': 2}"
27,93_145_324,"{'J33', 'J01'}","{'Budesonide': 2, 'Dexamethasone': 2, 'Ciprofloxacin': 2, 'Telithromycin': 2, 'Clarithromycin': 1}"
28,98,"{'K29', 'K25', 'K51', 'K58', 'K59', 'K26'}","{'Isopropamide': 1, 'Bismuth Subcitrate': 1, 'Omeprazole': 4, 'Sucralfate': 4, 'Nizatidine': 4, 'Pirenzepine': 4, 'Homatropine Methylbromide': 4, 'Roxatidine acetate': 4, 'Infliximab': 2, 'Hydrocortisone': 2, 'Prednisolone': 2, 'Balsalazide': 2, 'Budesonide': 2, 'Olsalazine': 2, 'Difenoxin': 2, 'Golimumab': 2, 'Tofacitinib': 2, 'Tixocortol': 2, 'Kappadione': 2, 'Plantago seed': 5, 'Amitriptyline': 2, 'Hyoscyamine': 2, 'Scopolamine': 2, 'Clidinium': 2, 'Dicyclomine': 2, 'Methantheline': 2, 'Alosetron': 2, 'Lubiprostone': 3, 'Tegaserod': 3, 'Rifaximin': 2, 'Alverine': 2, 'Linaclotide': 3, 'Trimebutine': 2, 'Pinaverium': 2, 'Eluxadoline': 2, 'Ramosetron': 2, 'Peppermint oil': 2, 'Methyl cellulose': 3, 'Tramadol': 1, 'Lactulose': 1, 'Magnesium oxide': 1, 'Prucalopride': 1, 'Methylnaltrexone': 1, 'Naloxegol': 1, 'Potassium alum': 1, 'Magnesium hydroxide': 1, 'Bisoxatin': 1, 'Polyethylene glycol': 1, 'Polycarbophil': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium phosphate': 1, 'Docusate': 1, 'Magnesium citrate': 1, 'Sennosides': 1, 'Naldemedine': 1, 'Galactose': 1, 'Metronidazole': 2, 'Clarithromycin': 2, 'Almasilate': 2}"
29,99,"{'K65', 'K37'}","{'Anidulafungin': 2, 'Ceftazidime': 2, 'Meropenem': 3}"
