,Trajectory,Disease list,Drug Indications
54,189,"{'I72', 'M45', 'D35', 'N05', 'K20'}","{'Nimodipine': 1, 'Etanercept': 2, 'Adalimumab': 2, 'Infliximab': 3, 'Indomethacin': 2, 'Celecoxib': 2, 'Sulindac': 2, 'Naproxen': 2, 'Phenylbutazone': 2, 'Prednisolone': 2, 'Acetylsalicylic acid': 2, 'Ketoprofen': 2, 'Ibuprofen': 2, 'Etoricoxib': 2, 'Golimumab': 2, 'Aceclofenac': 2, 'Tofacitinib': 3, 'Alclofenac': 2, 'Acemetacin': 2, 'Calcium glubionate': 1, 'Cetuximab': 1, 'Peginterferon alfa-2a': 1, 'Erythropoietin': 1, 'Salmon Calcitonin': 1, 'Pegfilgrastim': 1, 'Peginterferon alfa-2b': 1, 'Asparaginase Escherichia coli': 1, 'Oprelvekin': 1, 'Palifermin': 1, 'Rasburicase': 1, 'Gemtuzumab ozogamicin': 1, 'Hyaluronidase': 1, 'Pancrelipase': 1, 'Efalizumab': 1, 'Filgrastim': 1, 'Octreotide': 1, 'Esmolol': 1, 'Ethchlorvynol': 1, 'Hydroxocobalamin': 1, 'Ticlopidine': 1, 'Torasemide': 1, 'Nelfinavir': 1, 'Methyclothiazide': 1, 'Nevirapine': 1, 'Cabergoline': 1, 'Lymecycline': 1, 'Cycloserine': 1, 'Sulfisoxazole': 1, 'Theophylline': 1, 'Travoprost': 1, 'Atomoxetine': 1, 'Tenofovir disoproxil': 1, 'Bexarotene': 1, 'Chlorthalidone': 1, 'Capreomycin': 1, 'Gefitinib': 1, 'Amitriptyline': 1, 'Floxuridine': 1, 'Tolcapone': 1, 'Omeprazole': 1, 'Pyrazinamide': 1, 'Trimethadione': 1, 'Megestrol acetate': 1, 'Buclizine': 1, 'Vinorelbine': 1, 'Anidulafungin': 1, 'Doxylamine': 1, 'Levonorgestrel': 1, 'Palonosetron': 1, 'Griseofulvin': 1, 'Nisoldipine': 1, 'Ampicillin': 1, 'Methylphenidate': 1, 'Methocarbamol': 1, 'Triprolidine': 1, 'Carboprost Tromethamine': 1, 'Lindane': 1, 'Allopurinol': 1, 'Cerivastatin': 1, 'Trimethoprim': 1, 'Dronabinol': 1, 'Nabilone': 1, 'Zidovudine': 1, 'Haloperidol': 1, 'Ritonavir': 1, 'Caspofungin': 1, 'Metolazone': 1, 'Tolnaftate': 1, 'Erlotinib': 1, 'Lamotrigine': 1, 'Methotrexate': 1, 'Cinnarizine': 1, 'Amiloride': 1, 'Labetalol': 1, 'Thiopental': 1, 'Cyclothiazide': 1, 'Ethionamide': 1, 'Paramethadione': 1, 'Demeclocycline': 1, 'Bacitracin': 1, 'Prednisone': 1, 'Pemetrexed': 1, 'Dyclonine': 1, 'Flumethasone': 1, 'Aprepitant': 1, 'Isoflurophate': 1, 'Phentolamine': 1, 'Furosemide': 1, 'Amprenavir': 1, 'Gadobenic acid': 1, 'Tretinoin': 1, 'Hexachlorophene': 1, 'Dolasetron': 1, 'Etoposide': 1, 'Hydroflumethiazide': 1, 'Oxcarbazepine': 1, 'Phenelzine': 1, 'Indapamide': 1, 'Ribavirin': 1, 'Dacarbazine': 1, 'Pseudoephedrine': 1, 'Chlorphenesin': 1, 'Eprosartan': 1, 'Emtricitabine': 1, 'Chlorothiazide': 1, 'Didanosine': 1, 'Ondansetron': 1, 'Bimatoprost': 1, 'Dinoprostone': 1, 'Misoprostol': 1, 'Zalcitabine': 1, 'Hydrocodone': 1, 'Carboplatin': 1, 'Telmisartan': 1, 'Dactinomycin': 1, 'Neomycin': 1, 'Doxorubicin': 1, 'Salbutamol': 1, 'Guanfacine': 1, 'Ethinamate': 1, 'Selegiline': 1, 'Hydroxystilbamidine Isethionate': 1, 'Melphalan': 1, 'Abacavir': 1, 'Novobiocin': 1, 'Melatonin': 1, 'Atazanavir': 1, 'Vigabatrin': 1, 'Streptomycin': 1, 'Hesperetin': 1, 'Rosuvastatin': 1, 'Capecitabine': 1, 'Amiodarone': 1, 'Proguanil': 1, 'Micafungin': 1, 'Procarbazine': 1, 'Cyclizine': 1, 'Ifosfamide': 1, 'Clindamycin': 1, 'Flecainide': 2, 'Captopril': 1, 'Bromocriptine': 1, 'Lomustine': 1, 'Clarithromycin': 1, 'Ketamine': 1, 'Budesonide': 1, 'Bromodiphenhydramine': 1, 'Isocarboxazid': 1, 'Docetaxel': 1, 'Posaconazole': 1, 'Darunavir': 1, 'Panitumumab': 1, 'Mecasermin': 1, 'Nelarabine': 1, 'Abatacept': 1, 'Bismuth Subsalicylate': 1, 'Fosamprenavir': 1, 'Potassium': 1, 'Hexobarbital': 1, 'Penbutolol': 1, 'Iohexol': 1, 'Rasagiline': 1, 'Oxybenzone': 1, 'Antipyrine': 1, 'Phenazopyridine': 1, 'Fencamfamine': 1, 'Flunitrazepam': 1, 'Liotrix': 1, 'Lopinavir': 1, 'Meticillin': 1, 'Phenindamine': 1, 'Acetylcholine': 1, 'Propanoic acid': 1, 'Thiotepa': 1, 'Suramin': 1, 'Tetrabenazine': 1, 'Ixabepilone': 1, 'Defibrotide': 1, 'Tamibarotene': 1, 'Trabectedin': 2, 'Methsuximide': 1, 'Natural alpha interferon': 1, 'Iodine': 1, 'Tetrachlorodecaoxide': 1, 'Mipomersen': 1, 'Ramucirumab': 1, 'Sodium stibogluconate': 1, 'Ustekinumab': 1, 'Thrombomodulin Alfa': 1, 'Inotuzumab ozogamicin': 1, 'Obeticholic acid': 1, 'Olaratumab': 1, 'Lasofoxifene': 1, 'Hyaluronidase (Human Recombinant)': 1, 'Asenapine': 1, 'Droxidopa': 1, 'Temsirolimus': 1, 'Saxagliptin': 1, 'Pertuzumab': 1, 'Oxymetholone': 1, 'Etravirine': 1, 'Pazopanib': 1, 'Safinamide': 1, 'Sipuleucel-T': 1, 'Dexmethylphenidate': 1, 'Potassium Iodide': 1, 'Fosaprepitant': 1, 'Beta carotene': 1, 'Fomivirsen': 1, 'Dalteparin': 1, 'Hexocyclium': 1, 'Nonoxynol-9': 1, 'Raltegravir': 1, 'Unoprostone': 1, 'Diloxanide': 1, 'Azidocillin': 1, 'Chloropyramine': 1, 'Dimetindene': 1, 'Triflusal': 1, 'Hyaluronic acid': 1, 'Ivacaftor': 1, 'Acetylcarnitine': 1, 'Rilpivirine': 1, 'Brentuximab vedotin': 1, 'Eribulin': 1, 'Asparaginase Erwinia chrysanthemi': 1, 'Regorafenib': 1, 'Afatinib': 1, 'Dolutegravir': 1, 'Riociguat': 1, 'Sofosbuvir': 1, 'Secukinumab': 1, 'Nivolumab': 1, 'Pembrolizumab': 1, 'Netupitant': 1, 'Idelalisib': 1, 'Cannabidiol': 1, 'Cobicistat': 1, 'Olaparib': 1, 'Dinutuximab': 1, 'Benzoyl peroxide': 1, 'Somatostatin': 1, 'Elvitegravir': 1, 'Ancestim': 1, 'Hydroxyethyl Starch': 1, 'Aurothioglucose': 1, 'Oxygen': 1, 'Florbetaben (18F)': 1, 'Florbetapir (18F)': 1, 'Flutemetamol (18F)': 1, 'Carbon dioxide': 1, 'Lorpiprazole': 1, 'Moxisylyte': 1, 'Piracetam': 1, 'Dexibuprofen': 1, 'Zotepine': 1, 'Lacidipine': 1, 'Moxonidine': 1, 'Tegafur': 1, 'Strontium ranelate': 1, 'Ubidecarenone': 1, 'Rolapitant': 1, 'Sacubitril': 1, 'Zinc oxide': 1, 'Benzathine benzylpenicillin': 1, 'Kappadione': 1, 'Tipiracil': 1, 'Pramocaine': 1, 'Estrogens, esterified': 1, 'Sodium acetate': 1, 'Fluoride ion F-18': 1, 'Magnesium acetate tetrahydrate': 1, 'Monopotassium phosphate': 1, 'Xylose': 1, 'Indium In-111 chloride': 1, 'Fludeoxyglucose F-18': 1, 'Talc': 1, 'Sodium glycerophosphate': 1, 'Omega-3-carboxylic acids': 1, 'Dermatophagoides farinae': 1, 'Dermatophagoides pteronyssinus': 1, 'Bovine type I collagen': 1, 'Hepatitis A Vaccine': 1, 'Cetylpyridinium': 1, 'Resorcinol': 1, 'N-acetyltyrosine': 1, 'Cresol': 1, 'Bicisate': 1, 'Ferric sulfate': 1, 'Peppermint oil': 1, 'Methyl cellulose': 1, 'Thonzylamine': 1, 'Hexylresorcinol': 1, 'Levomefolic acid': 1, 'Polysilicone-15': 1, 'Ixekizumab': 1, 'Asunaprevir': 1, 'Domiphen': 1, 'Atezolizumab': 1, 'Levoleucovorin': 1, 'Normethadone': 1, 'Velpatasvir': 1, 'Hepatitis B Vaccine (Recombinant)': 1, 'Temoporfin': 1, 'Delamanid': 1, 'Vinflunine': 1, 'Durvalumab': 1, 'Galactose': 1, 'Icotinib': 1, 'Sarilumab': 1, 'Niraparib': 1, 'Baricitinib': 1, 'Ertugliflozin': 1, 'Guselkumab': 1, 'Angiotensin II': 1, 'Abemaciclib': 1, 'Stem bromelain': 1, 'Cantharidin': 1, 'Rucaparib': 1, 'Nicoboxil': 1, 'Lenograstim': 1, 'Protein S human': 1, 'Coagulation factor VII human': 1, 'Lipegfilgrastim': 1, 'Perboric acid': 1, 'Bufexamac': 1, 'Mifamurtide': 1, 'Bioallethrin': 1, 'Magnesium gluconate': 1, 'Glycyrrhizic acid': 1, 'Calcium levulinate': 1, 'Human cytomegalovirus immune globulin': 1, 'Talimogene laherparepvec': 1, 'Axicabtagene ciloleucel': 1, 'Testosterone undecanoate': 1, 'Medium-chain triglycerides': 1, 'Fish oil': 1, 'Remestemcel-L': 1, 'Besilesomab': 1, 'alpha-Tocopherol succinate': 1, 'alpha-Tocopherol acetate': 1, 'Nabiximols': 1, 'Fosnetupitant': 1, 'Human vaccinia virus immune globulin': 1, 'Ecabet': 2, 'Alginic acid': 2}"
55,190,"{'L50', 'M54'}","{'Clemastine': 2, 'Cetirizine': 3, 'Triprolidine': 2, 'Cyproheptadine': 2, 'Loratadine': 3, 'Hydroxyzine': 2, 'Carbinoxamine': 2, 'Desloratadine': 3, 'Mequitazine': 2, 'Chlorphenamine': 2, 'Alimemazine': 2, 'Pheniramine': 2, 'Dimetindene': 2, 'Dexchlorpheniramine maleate': 2, 'Bilastine': 2, 'Rupatadine': 2, 'Etoricoxib': 1, 'Methyl salicylate': 1, 'Nicoboxil': 1, 'Acemetacin': 1}"
56,191,"{'I26', 'D68'}","{'Streptokinase': 2, 'Ardeparin': 2, 'Phenindione': 2, 'Warfarin': 2, 'Phenprocoumon': 2, 'Heparin': 2, 'Anisindione': 2, 'Enoxaparin': 2, 'Acenocoumarol': 2, 'Rivaroxaban': 2, 'Danaparoid': 2, 'Dalteparin': 2, 'Tinzaparin': 2, 'Edoxaban': 2, 'Reviparin': 2, 'Parnaparin': 2, 'Certoparin': 2, 'Desmopressin': 1, 'Factor IX Complex (Human)': 1}"
57,195,"{'I72', 'H81'}","{'Nimodipine': 1, 'Cinnarizine': 1, 'Diphenhydramine': 1, 'Diphenidol': 1}"
58,197,"{'E88', 'E61', 'E66', 'L08'}","{'D-glucose': 1, 'Glucose': 1, 'Magnesium sulfate': 1, 'Iron Dextran': 1, 'Ferumoxytol': 1, 'Cupric sulfate': 1, 'Ferric Carboxymaltose': 1, 'Iron saccharate': 1, 'Magnesium acetate tetrahydrate': 1, 'Sodium ferric gluconate complex': 1, 'Ferrous sulfate': 1, 'Magnesium gluconate': 1, 'Ferric pyrophosphate citrate': 1, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2, 'Nitrofural': 1, 'Sulfapyridine': 1}"
59,198,"{'G25', 'G47', 'E66'}","{'Ioflupane I-123': 1, 'Piracetam': 1, 'Amitriptyline': 2, 'Melatonin': 2, 'Aceprometazine': 2, 'Pimavanserin': 2, 'Armodafinil': 2, 'Amphetamine': 2, 'Phentermine': 2, 'Topiramate': 2, 'Phenylpropanolamine': 2, 'Fenfluramine': 2, 'Mazindol': 2, 'Phenmetrazine': 2, 'Benzphetamine': 2, 'Diethylpropion': 2, 'Orlistat': 2, 'Sibutramine': 2, 'Dexfenfluramine': 2, 'Fenproporex': 2, 'Methamphetamine': 2, 'Phendimetrazine': 2, 'Pantothenic acid': 2, 'Lorcaserin': 2, 'Omega-3-carboxylic acids': 2, 'Pipradrol': 2, 'Ertugliflozin': 2, 'Semaglutide': 2}"
60,200,"{'K02', 'F03', 'E53', 'F10', 'F63'}","{'Chlorhexidine': 2, 'Calcium glycerophosphate': 2, 'Silver': 2, 'Phosphatidyl serine': 1, 'Citalopram': 1, 'Fluoxetine': 1, 'Haloperidol': 1, 'Galantamine': 1, 'Nicergoline': 1, 'Paroxetine': 1, 'Donepezil': 1, 'Rivastigmine': 1, 'Memantine': 1, 'Escitalopram': 1, 'Ginkgo biloba': 1, 'Acetylcarnitine': 1, 'Oxymetholone': 1, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1, 'Clomipramine': 1}"
61,203,"{'F32', 'B37', 'F51', 'K02'}","{'Imipramine': 2, 'Tranylcypromine': 2, 'Agomelatine': 2, 'Terconazole': 2, 'Clotrimazole': 2, 'Anidulafungin': 2, 'Caspofungin': 2, 'Voriconazole': 2, 'Butoconazole': 2, 'Tioconazole': 2, 'Ketoconazole': 2, 'Miconazole': 2, 'Econazole': 2, 'Micafungin': 2, 'Posaconazole': 2, 'Dequalinium': 2, 'Amitriptyline': 1, 'Melatonin': 1, 'Aceprometazine': 1, 'Pimavanserin': 1, 'Armodafinil': 1, 'Chlorhexidine': 2, 'Calcium glycerophosphate': 2, 'Silver': 2}"
62,205,"{'L71', 'J42', 'F17', 'L08'}","{'Brimonidine': 2, 'Loteprednol': 2, 'Metronidazole': 2, 'Benzoyl peroxide': 2, 'Moxifloxacin': 1, 'Theophylline': 1, 'Ipratropium': 1, 'Clomocycline': 1, 'Dyphylline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Orciprenaline': 1, 'Methacycline': 1, 'Dirithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Sparfloxacin': 1, 'Clarithromycin': 1, 'Aminophylline': 1, 'Arformoterol': 1, 'Ceftibuten': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Indacaterol': 1, 'Aclidinium': 1, 'Fluticasone furoate': 1, 'Olodaterol': 1, 'Vilanterol': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1, 'Nitrofural': 1, 'Sulfapyridine': 1}"
63,209,"{'I64', 'I63'}","{'Ramipril': 1, 'Ticlopidine': 1, 'Clopidogrel': 1, 'Phenprocoumon': 1, 'Atorvastatin': 1, 'Prasugrel': 1, 'Rivaroxaban': 1, 'Apixaban': 1, 'Dabigatran etexilate': 3, 'Gadobutrol': 1, 'Triflusal': 1, 'Ticagrelor': 1, 'Edoxaban': 1, 'Technetium Tc-99m exametazime': 1, 'Bicisate': 1, 'Edaravone': 1, 'Moxisylyte': 2}"
64,212,"{'J43', 'J42', 'F17', 'J01'}","{'Alpha-1-proteinase inhibitor': 2, 'Theophylline': 3, 'Ipratropium': 3, 'Dyphylline': 3, 'Orciprenaline': 3, 'Terbutaline': 2, 'Aminophylline': 3, 'Arformoterol': 3, 'Oxtriphylline': 2, 'Bambuterol': 2, 'Indacaterol': 3, 'Aclidinium': 3, 'Fluticasone furoate': 3, 'Olodaterol': 3, 'Vilanterol': 3, 'Moxifloxacin': 1, 'Clomocycline': 1, 'Sulfametopyrazine': 1, 'Cefixime': 1, 'Methacycline': 1, 'Dirithromycin': 1, 'Lomefloxacin': 1, 'Salbutamol': 1, 'Isoprenaline': 1, 'Cefditoren': 1, 'Sparfloxacin': 1, 'Clarithromycin': 2, 'Ceftibuten': 1, 'Pivampicillin': 1, 'Roflumilast': 1, 'Etafedrine': 1, 'Terpin hydrate': 1, 'Ziprasidone': 1, 'Olanzapine': 1, 'Loxapine': 1, 'Prochlorperazine': 1, 'Fluphenazine': 1, 'Perphenazine': 1, 'Quetiapine': 1, 'Aripiprazole': 1, 'Chlorprothixene': 1, 'Molindone': 1, 'Aripiprazole lauroxil': 1, 'Ciprofloxacin': 2, 'Telithromycin': 2}"
65,215,"{'H40', 'H26'}","{'Travoprost': 2, 'Mitomycin': 2, 'Timolol': 2, 'Carbachol': 2, 'Dipivefrin': 2, 'Brimonidine': 2, 'Carteolol': 2, 'Clonidine': 2, 'Latanoprost': 2, 'Isoflurophate': 2, 'Methazolamide': 2, 'Acetazolamide': 2, 'Dorzolamide': 2, 'Bimatoprost': 2, 'Demecarium': 2, 'Apraclonidine': 2, 'Physostigmine': 2, 'Echothiophate': 2, 'Diclofenamide': 2, 'Brinzolamide': 2, 'Levobunolol': 2, 'Metipranolol': 2, 'Ginkgo biloba': 2, 'Unoprostone': 2, 'Bupranolol': 2, 'Hyaluronic acid': 3, 'Tafluprost': 2, 'Moxisylyte': 2, 'Levobetaxolol': 2, 'Latanoprostene Bunod': 2, 'Ripasudil': 2, 'Netarsudil': 2, 'Vitamin E': 1, 'Bromfenac': 1, 'Acetylcholine': 1, 'Nepafenac': 1, 'D-alpha-Tocopherol acetate': 1}"
66,217,"{'I20', 'I21'}","{'Bivalirudin': 1, 'Abciximab': 1, 'Metoprolol': 4, 'Atenolol': 2, 'Lercanidipine': 2, 'Labetalol': 2, 'Bisoprolol': 2, 'Isosorbide Dinitrate': 2, 'Acetylsalicylic acid': 3, 'Isosorbide Mononitrate': 2, 'Perhexiline': 2, 'Heparin': 1, 'Nadolol': 2, 'Enoxaparin': 1, 'Bevantolol': 2, 'Oxprenolol': 2, 'Amyl Nitrite': 2, 'Celiprolol': 2, 'Pentaerythritol Tetranitrate': 2, 'Prasugrel': 1, 'Dalteparin': 1, 'Nadroparin': 1, 'Trimetazidine': 2, 'Nicorandil': 2, 'Aranidipine': 2, 'Benidipine': 2, 'Alteplase': 2, 'Eplerenone': 2, 'Ridogrel': 2, 'Technetium Tc-99m pyrophosphate': 2}"
