icd_1,icd_2,ji
B37,C80,0.0
B37,D48,0.0
B37,D63,0.0
B37,M84,0.0
C82,D80,0.03571428571428571
C82,C83,0.07228915662650602
C82,C85,0.35555555555555557
C82,D72,0.0
C83,D80,0.07575757575757576
C83,C85,0.05714285714285714
C83,D72,0.0
C85,D80,0.0
C85,D72,0.0
D72,D80,0.0
D72,C79,0.0
D72,J18,0.0
D72,J86,0.0
D72,B00,0.0
D72,D73,0.0
D72,M84,0.0
D80,J20,0.0
D80,J30,0.024691358024691357
D80,J42,0.025
D80,L30,0.0196078431372549
D80,E61,0.0
D80,G00,0.0
D80,H02,0.0
D80,H04,0.0
D80,J01,0.0
D80,K00,0.0
D80,M43,0.0
D80,J35,0.0
D80,J36,0.0
N13,N28,0.0
N13,N20,0.014285714285714285
N13,N21,0.1
K51,A49,0.011235955056179775
K51,L50,0.002717391304347826
K51,E61,0.0
K51,J04,0.0027548209366391185
K51,K29,0.005420054200542005
K51,D16,0.0
K51,K25,0.0213903743315508
K51,K26,0.005249343832020997
K51,K58,0.009433962264150943
K51,K31,0.0025974025974025974
K51,D73,0.002824858757062147
K51,N62,0.0
K51,A69,0.0028328611898017
K51,D21,0.0
D73,A49,0.0
D73,L50,0.0
D73,C79,0.0
D73,E61,0.0
D73,J04,0.0
D73,K29,0.0
D73,D16,0.0
D73,J18,0.008849557522123894
D73,D21,0.0
D73,J86,0.0
D73,N62,0.0
D73,B00,0.0
D73,M84,0.0
D73,A69,0.0
D73,L28,0.0
D73,E51,0.0
D73,M89,0.0
J04,L50,0.0
J04,F17,0.0
J04,K04,0.0
J04,J39,0.0
J04,K12,0.0
J04,J31,0.0
J04,J40,0.0
J04,J47,0.0
J04,J44,0.0035335689045936395
J04,A16,0.0
J04,B44,0.0
J04,D52,0.029411764705882353
J04,L28,0.0
J04,M00,0.0
J04,K29,0.0
J04,A69,0.0
J04,D16,0.0
J04,D21,0.0
J04,N62,0.0
J04,D51,0.0
J04,H49,0.0
J04,J82,0.0
K29,A49,0.025
K29,L50,0.02040816326530612
K29,E61,0.0
K29,K21,0.0
K29,K44,0.0
K29,K52,0.02702702702702703
K29,K25,0.016129032258064516
K29,K26,0.0
K29,K58,0.0
K29,K31,0.0
K29,N62,0.0
K29,A69,0.0
K29,D16,0.0
K29,D21,0.0
A69,L50,0.0
A69,D16,0.0
A69,D21,0.0
A69,N62,0.0
D16,L50,0.0
D16,L05,0.0
D16,D21,0.0
D16,N62,0.0
D21,L50,0.0
