symbol1,symbol2
FAM209A,CYBC1
FAM209A,TMEM107
FAM209A,MYADM
FAM209A,TMEM86B
FAM209A,ADIPOQ
FAM209A,YIPF6
FAM209A,CLEC4G
FAM209A,SNORC
FAM209A,PAQR7
FAM209A,GKN2
FAM209A,GAST
FAM209A,C14orf180
FAM209A,MYADML2
FAM209A,SLC52A2
FAM209A,PTCH1
FAM209A,DEFB128
FAM209A,ANKRD46
FAM209A,TMEM222
FAM209A,PNLIPRP1
FAM209A,TMEM203
FAM209A,TMEM72
FAM209A,COL4A5
FAM209A,APOD
FAM209A,TMEM120A
FAM209A,CLDN4
FAM209A,S100A2
FAM209A,FAM3C
FAM209A,LRP10
FAM209A,LHFPL5
FAM209A,TMEM229B
FAM209A,GET3
FAM209A,RTP2
FAM209A,PLN
FAM209A,UBE2J1
FAM209A,PLPP4
FAM209A,SYT15
FAM209A,NCR3
FAM209A,DEFB121
FAM209A,MS4A13
FAM209A,SLC35B4
FAM209A,CTXN3
FAM209A,PLPP6
FAM209A,HACD2
FAM209A,GIMAP1
FAM209A,TM6SF2
FAM209A,FIS1
FAM209A,TNF
FAM209A,SMIM1
FAM209A,AQP1
FAM209A,KIR2DL3
FAM209A,TMEM141
FAM209A,PRB1
FAM209A,ENSG00000265808
FAM209A,ENSG00000276070
FAM209A,LOC102724488
FAM209A,UBASH3B
MYG1,RHBDD2
MYG1,CTSA
MYG1,SPG21
MYG1,AP1B1
MYG1,SYNGR1
MYG1,SLC17A9
MYG1,CDS2
MYG1,SYP
MYG1,PLIN3
MYG1,APOA5
MYG1,MAN1C1
MYG1,DESI2
MYG1,HORMAD1
MYG1,DDIT4L
MYG1,CPLX2
MYG1,TLCD4
MYG1,BSND
MYG1,ALDH7A1
MYG1,CMTM5
MYG1,ARL6IP1
MYG1,YIF1A
MYG1,AGTRAP
MYG1,GRB2
MYG1,GADD45GIP1
MYG1,DGAT2L6
MYG1,WWOX
MYG1,METTL9
MYG1,TMEM229B
MYG1,SFT2D1
MYG1,RXRB
MYG1,SKIL
MYG1,COPS5
MYG1,HSP90AB1
MYG1,FAM9B
MYG1,TMEM239
MYG1,HSPA8
MYG1,DSTN
MYG1,HSP90AA1
MYG1,RBBP7
MYG1,UBQLN2
MYG1,SUMO2
MYG1,NDN
MYG1,HSPB1
MYG1,GLRX3
MYG1,UBQLN1
MYG1,THOP1
MYG1,ELAC2
MYG1,DDX39B
MYG1,HSPD1
MYG1,SUGT1
MYG1,SORD
MYG1,PGD
MYG1,IDH1
MYG1,AHSA1
MYG1,XPNPEP1
MYG1,OXCT1
MYG1,TKFC
MYG1,DDX39A
MYG1,DNAJC17
MYG1,DPH5
MYG1,HIBCH
FCGR1A,ITM2A
FCGR1A,BIK
FCGR1A,VTI1B
FCGR1A,UPK2
FCGR1A,TSPO2
FCGR1A,NINJ1
FCGR1A,ASGR1
FCGR1A,MALL
FCGR1A,NRSN1
FCGR1A,BMP10
FCGR1A,CLDN19
FCGR1A,JAGN1
FCGR1A,CLEC7A
FCGR1A,RPRM
FCGR1A,CD163
FCGR1A,ADIPOQ
FCGR1A,VSTM1
FCGR1A,FAM3C
FCGR1A,LHFPL5
FCGR1A,LYN
FCGR1A,SHC1
FCGR1A,LILRB2
FCGR1A,FCGR3A
FCGR1A,CBL
FCGR1A,LAT
FCGR1A,HCK
FCGR1A,APCS
FCGR1A,LCP2
FCGR1A,HRG
FCGR1A,CRKL
FCGR1A,CRP
FCGR1A,PLCG2
FCGR1A,SYK
FCGR1A,FCAR
FCGR1A,SNTB2
FCGR1A,CDC42BPA
FCGR1A,PCDH7
FCGR1A,HBA1
FCGR1A,ITIH2
FCGR1A,ACAD8
FCGR1A,ULBP3
FCGR1A,FRAS1
FCGR1A,FREM2
FCGR1A,PCDH20
FCGR1A,PCDH12
FCGR1A,PCDH17
CREB3L1,SLC13A2
CREB3L1,MAN2B2
CREB3L1,AGPAT4
CREB3L1,VEZT
CREB3L1,SLC39A9
CREB3L1,SLC2A3
CREB3L1,CTSA
CREB3L1,TFRC
CREB3L1,SCARF1
CREB3L1,STX7
CREB3L1,SLC35C2
CREB3L1,MGST2
CREB3L1,FXYD3
CREB3L1,FETUB
CREB3L1,COMT
CREB3L1,SEMA4G
CREB3L1,TMEM14A
CREB3L1,SCD
CREB3L1,ERMP1
CREB3L1,MARCHF2
CREB3L1,TECR
CREB3L1,TSPO
CREB3L1,SYNGR1
CREB3L1,WFDC2
CREB3L1,PLP2
CREB3L1,ZDHHC15
CREB3L1,OLFM4
CREB3L1,FA2H
CREB3L1,SQLE
CREB3L1,LEPROTL1
CREB3L1,PLPPR2
CREB3L1,TMEM147
CREB3L1,BET1
CREB3L1,GOSR2
CREB3L1,PMP22
CREB3L1,UNC93B1
CREB3L1,GOLT1B
CREB3L1,TMEM14C
CREB3L1,TSPO2
CREB3L1,TIMMDC1
CREB3L1,CYB561D2
CREB3L1,IL1RL1
CREB3L1,UBIAD1
CREB3L1,SLC35B1
CREB3L1,SEC22A
CREB3L1,PEX16
CREB3L1,ORMDL2
CREB3L1,PLP1
CREB3L1,PEDS1-UBE2V1
CREB3L1,INSIG2
CREB3L1,NAPB
CREB3L1,ADGRE2
CREB3L1,ORMDL1
CREB3L1,CLN6
CREB3L1,AOC3
CREB3L1,NINJ1
CREB3L1,SEC61G
CREB3L1,SLC52A1
CREB3L1,ERG28
CREB3L1,TSPAN2
CREB3L1,CFHR5
CREB3L1,KCNK1
CREB3L1,MMD2
CREB3L1,CD72
CREB3L1,TMEM14B
CREB3L1,FXYD6
CREB3L1,VAMP1
CREB3L1,TMEM19
CREB3L1,SLC7A1
CREB3L1,TMBIM6
CREB3L1,RUSF1
CREB3L1,CMTM3
CREB3L1,ASGR1
CREB3L1,TMEM50B
CREB3L1,EMP3
CREB3L1,CD53
CREB3L1,MGST3
CREB3L1,AQP10
CREB3L1,NAT8
CREB3L1,SFXN5
CREB3L1,MALL
CREB3L1,RHBDD1
CREB3L1,EBP
CREB3L1,MAL2
CREB3L1,PGAP2
CREB3L1,ADAM33
CREB3L1,TMEM218
CREB3L1,TMEM86A
CREB3L1,SPOCK1
CREB3L1,CMTM7
CREB3L1,AGPAT5
CREB3L1,MS4A1
CREB3L1,SLC35B2
CREB3L1,SLC13A3
CREB3L1,ALG8
CREB3L1,AGPAT3
CREB3L1,TLCD1
CREB3L1,PAQR6
CREB3L1,CXCL16
CREB3L1,ZFPL1
CREB3L1,BMP10
CREB3L1,RFT1
CREB3L1,TEX264
CREB3L1,C4orf3
CREB3L1,SLC30A8
CREB3L1,SLC39A2
CREB3L1,SMCO4
CREB3L1,CIAO2A
CREB3L1,STX3
CREB3L1,VKORC1
CREB3L1,AQP2
CREB3L1,ENTPD3
CREB3L1,SCGB1D1
CREB3L1,TMEM208
CREB3L1,NSG1
CREB3L1,PTPN9
CREB3L1,CSGALNACT2
CREB3L1,ITGAM
CREB3L1,GPR37L1
CREB3L1,GPR25
CREB3L1,FAXDC2
CREB3L1,STX8
CREB3L1,C11orf24
CREB3L1,LPAR3
CREB3L1,COL8A2
CREB3L1,NINJ2
CREB3L1,MAL
CREB3L1,GPR151
CREB3L1,ARV1
CREB3L1,TNFRSF10C
CREB3L1,SLC16A13
CREB3L1,TRAM1L1
CREB3L1,CNIH2
