	Dis A	Dis B
1658	K43	K66
1659	K64	D21
1660	D21	D73
1661	D21	A69
1662	D21	N62
1663	K82	K83
1664	K82	C24
1665	K82	C25
1666	K83	C24
1667	K83	C25
1668	D17	D23
1669	D17	D48
1670	D17	K66
1671	D17	K46
1672	M16	M87
1673	M16	M41
1674	M87	M66
1675	M87	M41
1676	M66	M71
1677	M66	M19
1678	M66	M75
1679	M66	M77
1680	M66	M76
1681	M71	M76
1682	M71	M11
1683	M71	M21
1684	M75	M77
1685	M75	M76
1686	M75	M19
1687	M77	M76
1688	M77	M19
1689	M76	M19
1690	M76	B00
1691	M76	G43
1692	M76	G83
1693	M48	M96
1694	M48	M41
1695	B99	N03
1696	B99	N25
1697	B99	N05
1698	B99	J81
1699	B99	G93
1700	B99	I46
1701	N03	N25
1702	N03	N05
1703	N03	B02
1704	N25	N05
1705	N25	B02
1706	N25	L84
1707	N05	M45
1708	N05	D35
1709	N05	I12
1710	N05	I72
1711	N05	I77
1712	N05	L98
1713	N05	I13
1714	N05	B02
1715	N05	B25
1716	N41	N42
1717	N41	N32
1718	N41	N40
1719	N41	N21
1720	N41	N30
1721	N41	D29
1722	N41	N02
1723	N41	C61
1724	N41	C64
1725	B35	I89
1726	I89	C61
1727	I89	C64
1728	B37	J86
1729	B37	F48
1730	B37	F51
1731	B37	C34
1732	B37	C38
1733	B37	J82
1734	B37	B02
1735	B37	J80
1736	B37	C80
1737	B37	D48
1738	B37	D63
1739	B37	M84
1740	J86	B02
1741	J86	B00
1742	J86	D72
1743	J86	D73
1744	J86	M84
1745	C15	C16
1746	C18	C19
1747	C18	C20
1748	C18	C48
1749	C18	K36
1750	C19	C20
1751	C19	C48
1752	C19	K36
1753	C20	C48
1754	C20	K36
1755	C32	J37
1756	C32	C13
1757	J37	J43
1758	J37	J02
1759	C43	D22
1760	D22	C44
1761	D22	D23
1762	D22	L57
1763	D22	L82
1764	C61	N32
1765	C61	N40
1766	C61	C64
1767	C61	N42
1768	N32	N40
1769	N32	N21
1770	N32	N42
1771	N40	N21
1772	N40	N42
1773	N40	D29
1774	N40	N02
1775	N40	N30
1776	N40	N50
1777	C82	C83
1778	C82	C85
1779	C82	D72
1780	C83	C85
1781	C83	D72
1782	C85	D72
1783	C92	D46
1784	D23	D48
1785	D23	C44
1786	D23	L57
1787	D23	L82
1788	D48	C34
1789	D48	C38
1790	D48	C80
1791	D48	D63
1792	D48	J82
1793	D48	M84
1794	M45	D35
1795	M45	I12
1796	M45	I72
1797	M45	I77
1798	M45	L98
1799	M45	I13
1800	D35	I12
1801	D35	I72
1802	D35	I77
1803	D35	L98
1804	D35	I13
1805	I12	I72
1806	I12	I77
1807	I12	L98
1808	I12	I13
1809	I72	I77
1810	I72	L98
1811	I72	I13
1812	I72	G51
1813	I72	K75
1814	I77	L98
1815	I77	I13
1816	I77	G51
1817	I77	K75
1818	I77	H57
1819	L98	I13
1820	I13	I30
1821	I13	I33
1822	I13	L89
1823	I13	N08
1824	I13	E55
1825	I13	G61
1826	I13	L28
1827	I13	B02
1828	I13	B25
1829	I13	I31
1830	I13	G60
1831	I13	H57
1832	I13	D52
1833	I13	F09
1834	I13	I99
1835	I13	J41
1836	I13	M46
1837	D68	I82
1838	D68	D75
1839	D68	E21
1840	D68	E83
1841	G51	K75
1842	K75	E55
1843	K75	K46
1844	K75	K55
1845	K75	D73
1846	K75	N62
1847	H47	L08
1848	L08	D52
1849	L08	J41
1850	L08	L71
1851	L08	J13
1852	L08	N62
1853	K46	E55
1854	K46	K55
1855	F48	F51
1856	F48	G20
1857	F51	I99
1858	F51	B34
1859	F51	C75
1860	F51	F52
1861	F51	G12
1862	F51	G98
1863	D52	J41
1864	D52	L71
1865	D52	J13
1866	D52	N62
1867	D52	J47
1868	D52	A16
1869	D52	B44
1870	D52	L28
1871	D52	M00
1872	D52	I31
1873	D52	G60
1874	D52	H57
1875	D52	F09
1876	D52	I99
1877	D52	M46
1878	J41	L71
1879	J41	J13
1880	J41	N62
1881	J41	J47
1882	J41	G61
1883	J41	J82
1884	J41	G60
1885	J41	H57
1886	J41	F09
1887	J41	I99
1888	J41	M46
1889	J41	I31
1890	L71	J13
1891	L71	N62
1892	L71	K45
1893	L71	G62
1894	L71	G61
1895	L71	H16
1896	J13	N62
1897	N62	D73
1898	N62	A69
1899	G46	I63
1900	G46	I64
1901	G46	I66
1902	G46	I65
1903	I63	I64
1904	I63	I66
1905	I64	I66
1906	I66	I65
1907	J43	J02
1908	I60	H21
1909	I60	E53
1910	I60	E55
1911	I60	N08
1912	B00	B02
1913	B00	D72
1914	B00	D73
1915	B00	M84
1916	B00	G43
1917	B00	G83
1918	I27	I31
1919	I27	J84
1920	I31	G60
1921	I31	H57
1922	I31	F09
1923	I31	I99
1924	I31	M46
1925	I44	I51
1926	I44	I48
1927	G93	I46
1928	G93	J81
1929	I46	J81
1930	J47	G61
1931	J47	J82
1932	J47	A16
1933	J47	B44
1934	J47	L28
1935	J47	M00
1936	J47	F09
1937	J47	J62
1938	G61	J82
1939	G61	L89
1940	G61	N08
1941	G61	E55
1942	G61	I33
1943	G61	L28
1944	G61	K45
1945	G61	G62
1946	G61	H16
1947	J82	C34
1948	J82	C38
1949	J82	D51
1950	J82	H49
1951	J82	C80
1952	J82	D63
1953	J82	M84
1954	E55	K55
1955	E55	L89
1956	E55	N08
1957	E55	I33
1958	E55	L28
1959	E55	H21
1960	E55	E53
1961	M11	M21
1962	N21	N42
1963	B02	D72
1964	B02	D73
1965	B02	M84
1966	B02	B25
1967	I30	I33
1968	I33	L89
1969	I33	N08
1970	I33	L28
1971	I33	I48
1972	I33	A48
1973	I33	C76
1974	I33	H18
1975	N30	C67
1976	N30	C68
1977	N30	C65
1978	N30	C66
1979	N30	D29
1980	N30	N02
1981	N30	N42
1982	N30	D36
1983	N42	D29
1984	N42	N02
1985	N42	C64
1986	I99	B34
1987	I99	C75
1988	I99	F52
1989	I99	G12
1990	I99	G98
1991	I99	G60
1992	I99	H57
1993	I99	F09
1994	I99	M46
1995	B34	C75
1996	B34	F52
1997	B34	G12
1998	B34	G98
1999	C75	F52
2000	C75	G12
2001	C75	G98
2002	F52	G12
2003	F52	G98
2004	G12	G98
2005	D73	D72
2006	D73	M84
2007	D73	A69
2008	D73	L28
2009	D73	E51
2010	D73	M89
2011	D72	M84
2012	M84	G83
2013	M84	C34
2014	M84	C38
2015	M84	C80
2016	M84	D63
2017	C34	C38
2018	C34	C80
2019	C34	D63
2020	C38	C80
2021	C38	D63
2022	A16	B44
2023	A16	L28
2024	A16	M00
2025	B44	L28
2026	B44	M00
2027	L28	M00
2028	L28	L89
2029	L28	N08
2030	L28	E51
2031	L28	M89
2032	C48	K36
2033	C67	C68
2034	C67	C65
2035	C67	C66
2036	C68	C65
2037	C68	C66
2038	C65	C66
2039	E83	E03
2040	E83	E21
2041	E83	D75
2042	E03	E21
2043	E21	D75
2044	L89	N08
2045	N08	H21
2046	N08	E53
2047	G20	F02
2048	G20	G21
2049	F02	G21
2050	G30	F00
2051	F01	F71
2052	F01	I62
2053	G83	M89
2054	G83	G43
2055	K45	G62
2056	K45	H16
2057	G62	H16
2058	H16	K30
2059	H16	M40
2060	H16	G57
2061	H16	I06
2062	H27	H44
2063	H27	H11
2064	H27	H18
2065	H27	H21
2066	I48	I05
2067	I48	A48
2068	I48	C76
2069	I48	H18
2070	C44	L57
2071	C44	L82
2072	L57	L82
2073	E51	M89
2074	M07	L40
2075	M81	M80
2076	M81	M85
2077	M80	M85
2078	C24	C25
2079	D29	N02
2080	D29	N50
2081	L82	M79
2082	D51	H49
2083	G60	H57
2084	G60	F09
2085	G60	M46
2086	H57	F09
2087	H57	M46
2088	F09	M46
2089	F09	J62
2090	K30	M40
2091	K30	G57
2092	K30	I06
2093	M40	G57
2094	M40	I06
2095	G57	I06
2096	H44	H11
2097	H44	H18
2098	H44	H21
2099	H44	D31
2100	H11	H18
2101	H11	H21
2102	H18	H21
2103	H18	A48
2104	H18	C76
2105	H21	E53
2106	A48	C76
2107	C80	D63
2108	G56	M72
