	Dis A	Dis B
1115	N18	N05
1116	N18	B02
1117	N18	B25
1118	N18	H10
1119	N18	I13
1120	N18	L84
1121	D64	N19
1122	D64	E83
1123	D64	E03
1124	D64	E21
1125	D64	D75
1126	D64	D68
1127	N19	I11
1128	N19	I34
1129	N19	I61
1130	N19	I67
1131	N19	I70
1132	N19	I71
1133	N19	L97
1134	E11	E79
1135	E11	E13
1136	E11	H40
1137	E11	G63
1138	E11	H25
1139	E11	H26
1140	E11	M86
1141	E11	I79
1142	E11	L89
1143	E11	N08
1144	E11	E55
1145	E11	G61
1146	E11	I13
1147	E11	I33
1148	E11	L28
1149	E11	I60
1150	E11	H21
1151	E11	E53
1152	E79	M16
1153	E79	M87
1154	E79	L82
1155	E79	L21
1156	E79	M54
1157	E79	M79
1158	K70	K25
1159	K70	K26
1160	K70	D52
1161	K70	D62
1162	K70	F05
1163	K70	L71
1164	K70	D53
1165	K70	G31
1166	K70	I85
1167	K70	K72
1168	K70	K74
1169	B18	F14
1170	B18	F15
1171	B18	B16
1172	B18	K73
1173	B18	C22
1174	B18	C24
1175	B18	K83
1176	B18	C25
1177	B18	K80
1178	B18	K81
1179	B18	K82
1180	B18	K85
1181	F14	F15
1182	F14	B16
1183	F14	K73
1184	F15	F25
1185	F15	F31
1186	F25	F31
1187	F31	G31
1188	F31	D53
1189	F31	E51
1190	B16	K73
1191	B16	C22
1192	K73	C22
1193	K73	C24
1194	J93	G45
1195	J93	J15
1196	J93	J37
1197	J93	J43
1198	J93	J02
1199	J93	B37
1200	J93	C34
1201	J93	C38
1202	J93	J82
1203	J93	J18
1204	J93	J86
1205	J93	B02
1206	J93	L72
1207	H83	H93
1208	H93	H81
1209	H93	H16
1210	H93	K30
1211	H93	M40
1212	H93	F34
1213	H93	G57
1214	H93	H10
1215	H93	I06
1216	I26	I80
1217	I26	J18
1218	I26	D68
1219	I26	I82
1220	I80	J18
1221	I80	D68
1222	I80	I82
1223	I42	I50
1224	I42	I44
1225	I42	I51
1226	I42	I48
1227	I42	I07
1228	I42	I34
1229	I42	I36
1230	I50	I44
1231	I50	I51
1232	I50	J81
1233	I50	B99
1234	I50	G93
1235	I50	I46
1236	I50	I31
1237	I50	G60
1238	I50	H57
1239	I50	D52
1240	I50	F09
1241	I50	I13
1242	I50	I25
1243	I50	I99
1244	I50	J41
1245	I50	M46
1246	J18	J15
1247	J18	B37
1248	J18	J86
1249	J18	B02
1250	J18	B00
1251	J18	D72
1252	J18	D73
1253	J18	M84
1254	J18	L72
1255	K07	K09
1256	K51	K25
1257	K51	K26
1258	K51	K58
1259	K51	K31
1260	K51	K75
1261	K51	D73
1262	K51	N62
1263	K51	A69
1264	K51	D21
1265	K25	K26
1266	K25	K58
1267	K25	K20
1268	K25	D62
1269	K25	K31
1270	K25	K22
1271	K25	D52
1272	K25	F05
1273	K26	K58
1274	K26	K20
1275	K26	D62
1276	K26	K31
1277	K26	K22
1278	K26	D52
1279	K26	F05
1280	K58	K31
1281	K63	D12
1282	K63	I84
1283	K63	K62
1284	K63	K64
1285	K63	D21
1286	K63	D13
1287	K63	N30
1288	K63	D36
1289	L72	D17
1290	L72	K43
1291	L72	K66
1292	L72	B37
1293	L72	J86
1294	L72	B02
1295	K74	I85
1296	K74	C22
1297	K74	K31
1298	K74	K72
1299	K74	B99
1300	K74	I86
1301	I85	C22
1302	I85	K31
1303	I85	K72
1304	I85	B99
1305	K80	K81
1306	K80	K85
1307	K80	K82
1308	K80	K83
1309	K80	C22
1310	K80	C24
1311	K80	C25
1312	K81	K85
1313	K81	K82
1314	K81	K83
1315	K81	C22
1316	K81	C24
1317	K81	C25
1318	K85	K83
1319	K85	C22
1320	K85	C24
1321	K85	C25
1322	K85	K82
1323	M17	M93
1324	M17	M94
1325	M17	M66
1326	M17	M71
1327	M17	M11
1328	M17	M21
1329	M93	M94
1330	M93	M66
1331	M93	M71
1332	M93	M11
1333	M93	M21
1334	M93	K45
1335	M93	G62
1336	M93	G61
1337	M93	H16
1338	M93	L71
1339	M93	M54
1340	M93	B00
1341	M93	G43
1342	M93	G83
1343	M93	M76
1344	M94	M11
1345	M94	M21
1346	M94	M71
1347	M94	M66
1348	M42	M51
1349	M42	M54
1350	M42	G35
1351	M42	G45
1352	M42	H81
1353	M42	M47
1354	M42	G54
1355	M42	M62
1356	M42	M41
1357	M42	M48
1358	M42	M16
1359	M42	M87
1360	M51	M54
1361	M51	G54
1362	M51	M62
1363	M51	M48
1364	M51	M96
1365	M51	M41
1366	M51	M47
1367	M54	G54
1368	M54	M62
1369	M54	M48
1370	M54	M71
1371	M54	M76
1372	M54	M96
1373	M54	L82
1374	M54	L21
1375	M54	M79
1376	M54	B00
1377	M54	G43
1378	M54	G83
1379	I11	I34
1380	I11	I61
1381	I11	I67
1382	I11	I70
1383	I11	I71
1384	I11	L97
1385	I34	I61
1386	I34	I67
1387	I34	I70
1388	I34	I71
1389	I34	L97
1390	I34	I07
1391	I34	I36
1392	I34	I48
1393	I34	I44
1394	I34	J84
1395	I34	I27
1396	I61	I67
1397	I61	I70
1398	I61	I71
1399	I61	L97
1400	I61	I60
1401	I61	I62
